ID,Group,Activity,Description,Hub,CC,ActGrp,Level of service,Maintain,Increase,Growth,Status,SPENT,Cost22,Cost23,AP23,AP23 Variance,Cost24,Cost25,Cost26,Cost27,Cost28,Cost29,Cost30,Cost31,Total
1,Commercial Operations,Staff Housing,Commercial Property - Staff Housing Upgrades,Finance & Affordability,Staff Housing ,Commercial Operations,Maintain,100,0,0,ONGOING,NO SPEND IN AP23,67436,77025,77025,0,73640,75530,77350,10179,10431,10701,10980,11250,424522
2,Commercial Operations,Community Housing,Community Housing - Upgrades,Finance & Affordability,Community Housing,Commercial Operations,Maintain,100,0,0,ONGOING,NO SPEND IN AP23,200000,205400,205400,0,210400,215800,221000,226200,231800,237800,244000,250000,2242400
3,Environmental Services and Protection,Parking,Parking Meter Renewals,Environmental Services & Protection,Parking,Environmental Services and Protection,Maintain,100,0,0,ONGOING,LESS,250000,154500,45,109000,0,0,0,0,0,0,0,0,404500
4,Regional Leadership & Support Services,Information Services,Orthophoto Regeneration - Aerial Photography,Internal Partnerships,Information Services,Support Services,Maintain,100,0,0,ONGOING,NO SPEND IN AP23,40000,40371.88,40371.88,0,40576.116,40771.408,41030.848,41226.867,41448.07,41762.976,42013.134,42216.46,411418
5,Regional Leadership & Support Services,Information Services,Existing Core Hardware Renewal,Internal Partnerships,Information Services,Support Services,Maintain,100,0,0,ONGOING,OVER,667000,449080,521580,-72500,570357.2,500000,350000,710000,530000,550000,560000,575000,5461437
6,Regional Leadership & Support Services,Information Services,Software Renewals & Upgrades,Internal Partnerships,Information Services,Support Services,Maintain,100,0,0,ONGOING,OVER,210000,97850,170350,-72500,147980,303520,250650,257175,211320,223480,242190,280720,2224885
7,Regional Leadership & Support Services,Information Services,Enterprise Solution - Capex,Internal Partnerships,Information Services,Support Services,Maintain/Increase,70,30,0,ONGOING,LESS,2433660,2060000,0,206000,0,0,0,0,0,0,0,0,4493660
8,Regional Leadership & Support Services,Information Services,Digitisation Of Records - Capex,Internal Partnerships,Information Services,Support Services,Increase,0,100,0,ONGOING,OVER,625400,621708,727000,-105000,649385.919,0,0,0,0,0,0,0,1896494
9,Regional Leadership & Support Services,Information Services,New IS Supported Software,Internal Partnerships,Information Services,Support Services,Increase,0,100,0,ONGOING,NO SPEND IN AP23,20000,5150,5150,0,79275,21680,11140,0,0,0,0,0,137245
10,Regional Leadership & Support Services,Information Services,Business Analytics,Internal Partnerships,Information Services,Support Services,Maintain/Increase,50,50,0,ONGOING,NO SPEND IN AP23,131500,135445,135445,0,138995.5,142546,146491,150304.5,154381,158852,163323,167794,1489632
11,Regional Leadership & Support Services,Civic,Chambers Furniture,Internal Partnerships,Democratic Process,Governance and Democracy  ,Maintain ,100,0,0,ONGOING,OVER,0,0,100000,-100000,0,0,55700,0,0,0,0,0,55700
12,Regional Leadership & Support Services,Water and Coastal Resources,Bore Drilling And Renewals,Transformation & Relationships,Water Mgt & Admin,Environmental Services and Protection,Increase,0,100,0,ONGOING,SAME,260000,445578,445578,0,0,216800,0,228600,0,241600,0,255200,1647778
13,Regional Leadership & Support Services,Water and Coastal Resources,Electrical Resistivity Measure,Transformation & Relationships,Water Mgt & Admin,Environmental Services and Protection,Increase,0,100,0,ONGOING,NO SPEND IN AP23,115000,0,,,0,0,0,0,0,0,0,19140,134140
14,Regional Leadership & Support Services,Water and Coastal Resources,Groundwater model,Transformation & Relationships,Water Mgt & Admin,Environmental Services and Protection,Increase,0,100,0,ONGOING,NO SPEND IN AP23,32000,32960,32960,0,0,0,0,0,0,0,0,0,64960
15,Regional Leadership & Support Services,Water and Coastal Resources,Groundwater Abstraction Devices,Transformation & Relationships,Water Mgt & Admin,Environmental Services and Protection,Increase,0,100,0,ONGOING,NO SPEND IN AP23,70000,72100,72100,0,63420,0,0,0,0,0,0,0,205520
16,Regional Leadership & Support Services,Civil Defence,Emergency Co-Ordination Centre,Community Lifelines,Civil Defence,Emergency Management,Increase,0,100,0,ONGOING,OVER,1000000,0,890000,-890000,0,0,0,0,0,0,0,0,1000000
17,Regional Leadership & Support Services,Environmental Monitoring & Hyd,Telemetry And Hydrological Equipment,Transformation & Relationships,Environmental Monitoring & Hyd,Environmental Services and Protection,Maintain ,100,0,0,ONGOING,NO SPEND IN AP23,85000,87550,87550,0,89845,92140,94690,97155,99790,102680,105570,108460,962880
18,Regional Leadership & Support Services,Environmental Monitoring & Hyd,Air Quality And Noise Monitoring Equipment,Transformation & Relationships,Environmental Monitoring & Hyd,Environmental Services and Protection,Maintain ,100,0,0,ONGOING,NO SPEND IN AP23,20000,82400,82400,0,21140,0,0,91440,23480,0,0,102080,340540
19,Regional Leadership & Support Services,Plant Management,Vehicle Replacement,,,,Maintain ,100,0,0,ONGOING,NO SPEND IN AP23,362000,372000,372000,0,381000,391000,400000,409000,420000,430000,442000,453000,4060000
20,Regional Leadership & Support Services,Plant Management,Minor Plant Renewals,Community Lifelines,Plant & Radios,Support Services,Maintain ,100,0,0,ONGOING,NO SPEND IN AP23,15000,15405,15405,0,15780,16185,16575,16965,17385,17835,18300,18750,168180
21,Regional Leadership & Support Services,Plant Management,3 Phase Ev Charger,Community Lifelines,Vehicles,Support Services,Increase,0,100,0,ONGOING,NO SPEND IN AP23,30000,0,,,31560,0,33150,0,34770,0,36600,0,166080
22,Regional Leadership & Support Services,Information Services,Network Switch Replacement,,,,Maintain ,100,0,0,NEW - ANNUAL PLAN,OVER,0,0,150000,-150000,0,0,0,0,0,0,0,0,150000
23,Regional Leadership & Support Services,Environmental Monitoring & Hyd,Awarua Firewall Replacement,,,,Maintain ,100,0,0,NEW - ANNUAL PLAN,OVER,0,0,75000,-75000,0,0,0,0,0,0,0,0,75000
24,Regional Leadership & Support Services,Civic,Councillor laptops and Screens,,,,Maintain ,100,0,0,NEW - ANNUAL PLAN,OVER,0,0,30000,-30000,0,0,0,0,0,0,0,0,30000
25,Regional Leadership & Support Services,Environmental Monitoring & Hyd,Freshwater Improvement Fund,,,,Maintain ,0,100,0,NEW - ANNUAL PLAN,OVER,0,0,100000,-100000,0,0,0,0,0,0,0,0,100000
26,"Land, Rivers and Coastal",Rivers Asset Mgt,Coastal Hazard Management,Community Lifelines,Rivers Asset Mgt,"Land, Rivers and Coastal",Increase,0,100,0,ONGOING,NO SPEND IN AP23,55000,0,,,0,60005,0,0,65450,0,0,72160,252615
27,"Land, Rivers and Coastal",Waipaoa RFCS,Waipaoa River Flood Control Scheme Resilience Improvements,Community Lifelines,Waipaoa RFCS,"Land, Rivers and Coastal",Maintain/Increase,10,90,0,ONGOING,NO SPEND IN AP23,2000000,2070000,2070000,0,3186000,3273000,3369000,3462000,3570000,3693000,3819000,0,28442000
28,"Land, Rivers and Coastal",Drainage Areas Old,Taruheru And Turanganui Rivers City Revetment Renewals,Community Lifelines,Drainage Areas Old,"Land, Rivers and Coastal",Maintain ,100,0,0,ONGOING,OVER,410000,0,220000,-220000,0,0,224600,0,0,0,0,0,634600
29,"Land, Rivers and Coastal",Rivers Maintenance,Turanganui River Coastal Revetments,Community Lifelines,Rivers Maintenance,"Land, Rivers and Coastal",Maintain ,100,0,0,ONGOING,NO SPEND IN AP23,0,0,,,0,0,0,0,59500,492400,0,0,551900
30,"Land, Rivers and Coastal",Waipaoa RFCS,Mahanga Stream Improvements,Community Lifelines,Waipaoa RFCS,"Land, Rivers and Coastal",Increase,0,100,0,ONGOING,OVER,120000,0,90000,-90000,0,0,0,0,0,0,0,0,120000
31,"Land, Rivers and Coastal",Waipaoa RFCS,Whakaahu Stream Improvement,Community Lifelines,Waipaoa RFCS,"Land, Rivers and Coastal",Increase,0,100,0,ONGOING,NO SPEND IN AP23,0,0,,,0,54550,1653056,0,0,0,0,0,1707606
32,"Land, Rivers and Coastal",Rivers Maintenance,Pump Station Renewals,Community Lifelines,Rivers Maintenance,"Land, Rivers and Coastal",Maintain ,100,0,0,ONGOING,OVER,200000,0,99000,-99000,0,0,0,0,0,0,0,0,200000
33,"Land, Rivers and Coastal",Waipaoa RFCS,Bushmere Road Nursery,Community Lifelines,Waipaoa RFCS,"Land, Rivers and Coastal",Increase,0,100,0,ONGOING,NO SPEND IN AP23,10000,0,,,0,0,0,0,0,0,0,0,10000
34,"Land, Rivers and Coastal",Rivers Maintenance,Mangahauini River Erosion Protection,Community Lifelines,Rivers Maintenance,"Land, Rivers and Coastal",Maintain ,100,0,0,ONGOING,NO SPEND IN AP23,0,51750,51750,0,0,327300,0,0,0,0,0,0,379050
35,"Land, Rivers and Coastal",Waipaoa RFCS,Waipaoa River Fld Ctl Scheme,Community Lifelines,Waipaoa RFCS,"Land, Rivers and Coastal",Increase,0,100,0,ONGOING,NO SPEND IN AP23,2700000,2437500,2437500,0,0,0,0,0,0,0,0,0,5137500
36,Liveable Communities,Soil Conservation,Pamoa Forest Restoration,Liveable Communities,Soil Con Mgmt & Admin,Environmental Services and Protection,Increase,0,100,0,ONGOING,OVER,1397889,2656282.45,2831000,-175000,2628999.996,2048701.464,2135424.372,1677666,1481560,1500925,1368139,976195,17871782
37,Liveable Communities,Soil Conservation,Titirangi to Tuamotu Indigenous Planting  Fencing ,Liveable Communities,Land Use Control,Environmental Services and Protection,Increase,0,100,0,ONGOING,NO SPEND IN AP23,40000,10300,10300,0,10570,0,0,0,0,0,0,0,60870
38,Liveable Communities,Theatres,Flooring Replacement Program,Liveable Communities,War Memorial,Liveable Communities,Maintain ,100,0,0,ONGOING,NO SPEND IN AP23,0,0,,,10520,0,11050,0,11590,0,12200,0,45360
39,Liveable Communities,Theatres,WMT Loading Dock,Liveable Communities,War Memorial,Liveable Communities,Increase,0,100,0,ONGOING,OVER,25000,0,23000,-23000,0,0,0,0,0,0,0,0,25000
40,Liveable Communities,Conveniences Management,Conveniences - Rural,Liveable Communities,Conveniences Mgmt & Admin,Liveable Communities,Maintain ,100,0,0,ONGOING,NO SPEND IN AP23,100000,154050,154050,0,105200,32370,33150,33930,34770,35670,36600,37500,603240
41,Liveable Communities,Conveniences Management,Refurbish Conveniences - City,Liveable Communities,Conveniences Mgmt & Admin,Liveable Communities,Maintain ,100,0,0,ONGOING,NO SPEND IN AP23,150000,256750,256750,0,105200,64740,66300,67860,69540,71340,73200,75000,999930
42,Liveable Communities,Conveniences Management,District - Conveniences Pit Toilets,Liveable Communities,Conveniences Mgmt & Admin,Liveable Communities,Maintain ,100,0,0,ONGOING,NO SPEND IN AP23,35000,0,,,36820,0,38675,0,40565,0,42700,0,193760
43,Liveable Communities,Conveniences Management,Tokomaru Wharf Toilet,Liveable Communities,Conveniences Mgmt & Admin,Liveable Communities,Maintain ,100,0,0,ONGOING,NO SPEND IN AP23,180000,0,,,0,0,0,0,0,0,0,0,180000
44,Liveable Communities,Conveniences Management,Peel St Toilets,Liveable Communities,Conveniences Mgmt & Admin,Liveable Communities,Maintain ,100,0,0,ONGOING,OVER,365547,0,365000,-365000,0,0,0,0,0,0,0,0,365547
45,Liveable Communities,Reserves Management,Parks And Reserves - Waikanae-midway Beach Reserve Site Improvements,Liveable Communities,Reserves Mgmt & Admin,Liveable Communities,Maintain ,100,0,0,ONGOING,NO SPEND IN AP23,100000,0,,,0,0,0,0,0,0,0,0,100000
46,Liveable Communities,Reserves Management,Parks And Reserves - Adventure Playground Recreation Reserve Softfall And Shading,Liveable Communities,Reserves Mgmt & Admin,Liveable Communities,Maintain/Increase,50,50,0,ONGOING,NO SPEND IN AP23,55000,35945,35945,0,31560,21580,22100,22620,23180,23780,24400,25000,285165
47,Liveable Communities,Reserves Management,Parks And Reserves - Buildings,Liveable Communities,Reserves Mgmt & Admin,Liveable Communities,Maintain ,100,0,0,ONGOING,NO SPEND IN AP23,40000,41080,41080,0,42080,43160,44200,45240,46360,47560,48800,50000,448480
48,Liveable Communities,Reserves Management,Parks And Reserves - Hard Surfacing-paving-concrete-car Parks,Liveable Communities,Reserves Mgmt & Admin,Liveable Communities,Maintain ,100,0,0,ONGOING,NO SPEND IN AP23,95000,102700,102700,0,105200,107900,110500,113100,115900,118900,122000,125000,1116200
49,Liveable Communities,Reserves Management,Parks And Reserves - Playground Equipment Renewals,Liveable Communities,Reserves Mgmt & Admin,Liveable Communities,Maintain ,100,0,0,ONGOING,NO SPEND IN AP23,75000,221075.101,221075.101,0,78900,107900,82875,84825,86925,89175,91500,93750,1011925
50,Liveable Communities,Reserves Management,Parks And Reserves - Titirangi Recreation Reserve Upgrades And Improvements,Liveable Communities,Reserves Mgmt & Admin,Liveable Communities,Maintain ,100,0,0,ONGOING,OVER,50000,15405,65000,-50000,21040,10790,11050,11310,5795,5945,6100,18750,156185
51,Liveable Communities,Reserves Management,Parks And Reserves - Dune Care,Liveable Communities,Reserves Mgmt & Admin,Liveable Communities,Maintain ,100,0,0,ONGOING,NO SPEND IN AP23,10000,20540,20540,0,10520,21580,11050,22620,11590,11890,12200,12500,144490
52,Liveable Communities,Reserves Management,Parks And Reserves - Neighbourhood Parks And Local Purpose Reserves - Fencing-Signage-Revegetation-And Furniture And Fittings,Liveable Communities,Reserves Mgmt & Admin,Liveable Communities,Maintain ,100,0,0,ONGOING,NO SPEND IN AP23,50000,51350,51350,0,52600,53950,55250,56550,57950,59450,61000,62500,560600
53,Liveable Communities,Reserves Management,Parks & Reserves - Land Improvements (dcs),Liveable Communities,Reserves Mgmt & Admin,Liveable Communities,Growth,0,0,100,ONGOING,NO SPEND IN AP23,0,0,,,181270.12,0,0,192932.766,0,0,0,0,374203
54,Liveable Communities,Reserves Management,Parks And Reserves - Land Purchases (dcs) - Taruheru Block,Liveable Communities,Reserves Mgmt & Admin,Liveable Communities,Growth,0,0,100,ONGOING,NO SPEND IN AP23,0,446409.171,446409.171,0,0,0,0,0,0,0,0,0,446409
55,Liveable Communities,Reserves Management,Parks - Kopututea Private Reserve - Co-Governance,Liveable Communities,Reserves Mgmt & Admin,Liveable Communities,Maintain ,100,0,0,ONGOING,NO SPEND IN AP23,14000,14378,14378,0,15780,16185,16575,16965,18544,19024,19520,20000,170971
56,Liveable Communities,Reserves Management,Titirangi Summit Development - 100% Grant Funded,Liveable Communities,Reserves Mgmt & Admin,Liveable Communities,Increase,0,100,0,ONGOING,NO SPEND IN AP23,48500,0,,,0,0,0,0,0,0,0,0,48500
57,Liveable Communities,Reserves Management,Township Plan Upgrades,Liveable Communities,Reserves Mgmt & Admin,Liveable Communities,Increase,0,100,0,ONGOING,LESS,64000,33688,0,33688,75744,33688,90610,33688,107787,33688,122000,33688,628581
58,Liveable Communities,Reserves Management,Sportsground Facilities Upgrades And Renewals,Liveable Communities,Reserves Mgmt & Admin,Liveable Communities,Maintain ,100,0,0,ONGOING,OVER,280000,77025,227000,-150000,0,80925,0,84825,0,89175,0,93750,705700
59,Liveable Communities,Reserves Management,Street Trees Planting,Liveable Communities,Reserves Mgmt & Admin,Liveable Communities,Increase,0,100,0,ONGOING,NO SPEND IN AP23,200000,102700,102700,0,78900,80925,82875,84825,86925,89175,91500,93750,991575
60,Liveable Communities,Reserves Management,Paths Boadwalks,Liveable Communities,Reserves Mgmt & Admin,Liveable Communities,Maintain ,100,0,0,ONGOING,NO SPEND IN AP23,0,0,,,110460,49083.71,0,103343.994,0,0,0,0,262888
61,Liveable Communities,Reserves Management,Signage,Liveable Communities,Reserves Mgmt & Admin,Liveable Communities,Maintain ,100,0,0,ONGOING,NO SPEND IN AP23,100000,0,51350,0,21040,0,0,0,0,0,0,0,172390
62,Liveable Communities,Reserves Management,Waihirire domain Devleopment,Liveable Communities,Reserves Mgmt & Admin,Liveable Communities,Maintain/Increase,50,50,0,ONGOING,NO SPEND IN AP23,75000,154050,154050,0,78900,26975,11050,11310,11590,11890,12200,12500,405465
63,Liveable Communities,Reserves Management,Land Remediation (asbestos contamination at land near cut),Liveable Communities,Reserves Mgmt & Admin,Liveable Communities,Maintain ,100,0,0,ONGOING,NO SPEND IN AP23,100000,102700,102700,0,78900,0,0,0,0,0,0,0,281600
64,Liveable Communities,Reserves Management,Community Strategy Implementation capex,Liveable Communities,Reserves Mgmt & Admin,Liveable Communities,Increase,0,100,0,ONGOING,OVER,400000,448524.791,849000,-400000,2630000,0,0,0,0,0,0,0,3478525
65,Liveable Communities,Cemeteries,Cemeteries Capital Renewals,Liveable Communities,Cemeteries Mgt & Admin,Liveable Communities,Increase,100,0,0,ONGOING,NO SPEND IN AP23,8000,18486,18486,0,8416,10790,6630,20358,6954,11890,12200,10000,113724
66,Liveable Communities,Cemeteries,Roadside Bollarding - Taruheru Cemetery,Liveable Communities,Cemeteries Mgt & Admin,Liveable Communities,Maintain/Increase,50,50,0,ONGOING,NO SPEND IN AP23,0,56485,56485,0,63120,0,0,0,0,0,0,0,119605
67,Liveable Communities,Cemeteries,Ash Gardens,Liveable Communities,Cemeteries Mgt & Admin,Liveable Communities,Increase,0,100,0,ONGOING,NO SPEND IN AP23,15000,15405,15405,0,10520,10790,16575,11310,11590,11890,12200,12500,127780
68,Liveable Communities,Community Property Mgt,Parks And Reserves - Jetties And Boat Ramps,Liveable Communities,Community Property Mgmt,Liveable Communities,Maintain ,100,0,0,ONGOING,NO SPEND IN AP23,0,0,,,52600,0,55250,0,69540,0,73200,0,250590
69,Liveable Communities,Community Property Mgt,Community Property - District - Monuments- Public Art- Town Clock Renewals,Liveable Communities,Community Property Mgmt,Liveable Communities,Maintain ,100,0,0,ONGOING,NO SPEND IN AP23,0,21204.469,21204.469,0,0,23315.032,0,22620,0,23780,0,25000,115920
70,Liveable Communities,Community Property Mgt,Star of Canada Renewals,Liveable Communities,Community Property Mgmt,Liveable Communities,Maintain ,100,0,0,ONGOING,NO SPEND IN AP23,0,0,,,263000,0,0,0,0,0,0,0,263000
71,Liveable Communities,Community Property Mgt,Lysnar House Renewals,Liveable Communities,Community Property Mgmt,Liveable Communities,Maintain ,100,0,0,ONGOING,NO SPEND IN AP23,0,256750,256750,0,0,0,0,0,0,0,0,0,256750
72,Liveable Communities,Community Property Mgt,WMT water sprinkler system,Liveable Communities,Pty Mgt - Theatres,Liveable Communities,Increase,0,100,0,ONGOING,NO SPEND IN AP23,0,0,,,0,539500,0,0,0,0,0,0,539500
73,Liveable Communities,Community Property Mgt,Redevelopment of Olympic Pool Complex,Liveable Communities,Pty Mgt - Olypmic Pool,Liveable Communities,Maintain/Increase,70,30,0,ONGOING,OVER,26670000,17780000,19560000,-1780000,0,0,0,0,0,0,0,0,44450000
74,Liveable Communities,Arts & Public Places,Hawaiki Turanga,Liveable Communities,Arts & Public Places,Liveable Communities,Increase,0,100,0,ONGOING,OVER,500000,0,490000,-490000,0,0,0,0,0,0,0,0,500000
75,Liveable Communities,Arts & Public Places,Public Art,Liveable Communities,Arts & Public Places,Liveable Communities,Maintain ,100,0,0,ONGOING,OVER,50000,51350,101000,-50000,52600,53950,55250,56550,57950,59450,61000,62500,560600
76,Liveable Communities,Arts & Public Places,1000 Year Bridge,Liveable Communities,Arts & Public Places,Liveable Communities,Increase,0,100,0,ONGOING,OVER,1350000,450000,1460000,-1010000,0,0,0,0,0,0,0,0,1800000
77,Liveable Communities,Pools,Aquatic Facilities Renewals (external),Liveable Communities,Olympic Pool,Liveable Communities,Maintain ,100,0,0,ONGOING,NO SPEND IN AP23,67000,9999.899,9999.899,0,21040,10790,0,11310,0,11890,0,12500,144530
78,Liveable Communities,Library,Library Books,Liveable Communities,Library,Liveable Communities,Maintain ,100,0,0,ONGOING,OVER,187456,164860,114860,-5000,169360,174220,178900,183580,188620,194020,199600,205000,1845616
79,Liveable Communities,Library,Library Books Ex Book Trust,Liveable Communities,Library,Liveable Communities,Maintain ,100,0,0,ONGOING,NO SPEND IN AP23,20000,20000,20000,0,20000,20000,20000,20000,20000,20000,20000,20000,200000
80,Liveable Communities,Library,Library-Dvd Cds Talking Books,Liveable Communities,Library,Liveable Communities,Maintain ,100,0,0,ONGOING,OVER,15621,16042.767,6042.767,-10000,16433.292,16855.059,17261.205,17667.351,18104.739,18573.369,19057.62,19526.25,175143
81,Liveable Communities,Library,Renew Intergrated Library Management System,Liveable Communities,Library,Liveable Communities,Maintain ,100,0,0,ONGOING,NO SPEND IN AP23,50000,0,,,0,0,0,0,0,0,0,0,50000
82,Liveable Communities,Library,Library Furniture & Fittings,Liveable Communities,Library,Liveable Communities,Maintain ,100,0,0,ONGOING,OVER,20000,10270,5270,-5000,10520,10790,11050,11310,11590,11890,12200,12500,122120
83,Roading,Assisted Roading,Pavement Maintenance - Renewal,Community Lifelines,Assisted Roading,Roads and Footpaths ,Maintain ,100,0,0,ONGOING,NO SPEND IN AP23,3443178,3433775,3433775,0,3645603,3500352,3617172,3500352,3940742,4068012,4068012,4437192,37654390
84,Roading,Assisted Roading,Roadside Drainage Renewals,Community Lifelines,Assisted Roading,Roads and Footpaths ,Maintain ,100,0,0,ONGOING,NO SPEND IN AP23,1174088,1184602,1184602,0,1195368,1248912,1248912,1248912,1360632,1372202,1372202,1496732,12902562
85,Roading,Assisted Roading,Bridge Renewals (renewals Of Local Roads),Community Lifelines,Assisted Roading,Roads and Footpaths ,Maintain ,100,0,0,ONGOING,NO SPEND IN AP23,961656,984736,984736,0,1008370,966420,966420,966420,995020,740480,740480,807680,9137682
86,Roading,Assisted Roading,Resurfacing Of Roads (renewals Of Local Roads),Community Lifelines,Assisted Roading,Roads and Footpaths ,Maintain ,100,0,0,ONGOING,NO SPEND IN AP23,4682626,4884360,4884360,0,4869279,4780788.408,4834315.332,4502389.356,4438252,4935762,4935762,5383692,48247226
87,Roading,Assisted Roading,Rehabilitation Of Roads (renewals Of Local Roads),Community Lifelines,Assisted Roading,Roads and Footpaths ,Maintain ,100,0,0,ONGOING,NO SPEND IN AP23,2248671,2323039,2323039,0,2399192,3292200,3292200,3292200,3586700,3713970,3713970,4051020,31913162
88,Roading,Assisted Roading,Minor Improvements Projects,Community Lifelines,Assisted Roading,Roads and Footpaths ,Maintain ,100,0,0,ONGOING,NO SPEND IN AP23,1368507,1394151,1394151,0,1420411,1136340,1136340,1136340,1237990,1301625,1359475,1545950,13037129
89,Roading,Assisted Roading,Resilience Improvement,Community Lifelines,Assisted Roading,Roads and Footpaths ,Maintain/Increase,10,90,0,ONGOING,NO SPEND IN AP23,447955,465906,465906,0,484288,796500,796500,796500,867750,867750,867750,946500,7337399
90,Roading,Non Assisted Roading,Township Upgrade Strategy Plans,Community Lifelines,Non Assisted Roading,Roads and Footpaths ,Maintain/Increase,50,50,0,ONGOING,LESS,894000,446312,0,446000,750000,452512,796500,452512,867750,462012,867750,472512,6461860
91,Roading,Non Assisted Roading,Township Upgrades ,,,,Maintain/Increase,50,50,0,NEW - ANNUAL PLAN,OVER,0,0,765000,-765000,0,0,0,0,0,0,0,0,465000
