tier1,tier2,tier3,Last_Update,Confirmed,Deaths,Recovered,Active,shpj,nz_update_time
Australia,Australasia,Oceania,2020:04:16 02:34:03,6440,63,2186,4191,Australia,16-April
Austria,West Europe,Europe,2020:04:16 02:26:13,14350,393,8098,5859,Austria,16-April
Canada,North America,The Americas,2020:04:16 02:33:47,28253,1010,8979,18264,Canada,16-April
China,East Asia,Asia,2020:04:16 01:44:35,83392,3346,78325,1721,China,16-April
Denmark,North Europe,Europe,2020:04:16 02:26:13,6876,309,2925,3642,Denmark,16-April
Finland,North Europe,Europe,2020:04:16 02:26:13,3237,72,300,2865,Finland,16-April
France,West Europe,Europe,2020:04:16 02:26:13,134582,17188,31470,85924,France,16-April
Germany,West Europe,Europe,2020:04:16 02:26:13,134753,3804,72600,58349,Germany,16-April
Iceland,North Europe,Europe,2020:04:16 02:26:13,1727,8,1077,642,Iceland,16-April
Ireland,North Europe,Europe,2020:04:16 02:26:13,12547,444,77,12026,Ireland,16-April
Italy,South Europe,Europe,2020:04:16 02:26:13,165155,21645,38092,105418,Italy,16-April
Netherlands,West Europe,Europe,2020:04:16 02:26:13,28316,3145,304,24867,Netherlands,16-April
Norway,North Europe,Europe,2020:04:16 02:26:13,6798,150,32,6616,Norway,16-April
Russia,East Europe,Europe,2020:04:16 02:26:13,24490,198,1986,22306,Russia,16-April
Sweden,North Europe,Europe,2020:04:16 02:26:13,11927,1203,381,10343,Sweden,16-April
Switzerland,West Europe,Europe,2020:04:16 02:26:13,26336,1239,15400,9697,Switzerland,16-April
United Kingdom,North Europe,Europe,2020:04:16 02:26:13,99489,12894,368,86227,United Kingdom,16-April
US,North America,The Americas,2020:04:16 02:26:31,638111,30844,52640,554627,United States,16-April
Afghanistan,South Asia,Asia,2020:04:16 02:26:13,784,25,43,716,Afghanistan,16-April
Albania,South Europe,Europe,2020:04:16 02:26:13,494,25,251,218,Albania,16-April
Algeria,North Africa,Africa,2020:04:16 02:26:13,2160,336,708,1116,Algeria,16-April
Andorra,South Europe,Europe,2020:04:16 02:26:13,673,33,169,471,Andorra,16-April
Angola,Central Africa,Africa,2020:04:16 02:26:13,19,2,5,12,Angola,16-April
Antigua and Barbuda,Caribbean,The Americas,2020:04:16 02:26:13,23,2,3,18,Antigua and Barbuda,16-April
Argentina,South America,The Americas,2020:04:16 02:26:13,2571,112,596,1863,Argentina,16-April
Armenia,West Asia,Asia,2020:04:16 02:26:13,1111,17,297,797,Armenia,16-April
Azerbaijan,West Asia,Asia,2020:04:16 02:26:13,1253,13,404,836,Azerbaijan,16-April
Bahamas,Caribbean,The Americas,2020:04:16 02:26:13,53,8,6,39,"Bahamas, The",16-April
Bahrain,West Asia,Asia,2020:04:16 02:26:13,1671,7,663,1001,Bahrain,16-April
Bangladesh,South Asia,Asia,2020:04:16 02:26:13,1231,50,49,1132,Bangladesh,16-April
Barbados,Caribbean,The Americas,2020:04:16 02:26:13,75,5,15,55,Barbados,16-April
Belarus,East Europe,Europe,2020:04:16 02:26:13,3728,36,203,3489,Belarus,16-April
Belgium,West Europe,Europe,2020:04:16 02:26:13,33573,4440,7107,22026,Belgium,16-April
Belize,Central America,The Americas,2020:04:16 02:26:13,18,2,0,16,Belize,16-April
Benin,West Africa,Africa,2020:04:16 02:26:13,35,1,18,16,Benin,16-April
Bhutan,South Asia,Asia,2020:04:16 02:26:13,5,0,2,3,Bhutan,16-April
Bolivia,South America,The Americas,2020:04:16 02:26:13,441,29,14,398,Bolivia,16-April
Bosnia and Herzegovina,South Europe,Europe,2020:04:16 02:26:13,1110,41,253,816,Bosnia and Herzegovina,16-April
Botswana,Southern Africa,Africa,2020:04:16 02:26:13,13,1,0,12,Botswana,16-April
Brazil,South America,The Americas,2020:04:16 02:26:13,28912,1760,14026,13126,Brazil,16-April
Brunei,Southeast Asia,Asia,2020:04:16 02:26:13,136,1,108,27,Brunei,16-April
Bulgaria,East Europe,Europe,2020:04:16 02:26:13,747,36,105,606,Bulgaria,16-April
Burkina Faso,West Africa,Africa,2020:04:16 02:26:13,542,32,226,284,Burkina Faso,16-April
Burma,Southeast Asia,Asia,2020:04:16 02:26:13,74,4,2,68,Myanmar (Burma),16-April
Burundi,East Africa,Africa,2020:04:16 02:26:13,5,1,0,4,Burundi,16-April
Cabo Verde,West Africa,Africa,2020:04:16 02:26:13,56,1,1,54,Cape Verde,16-April
Cambodia,Southeast Asia,Asia,2020:04:16 02:26:13,122,0,96,26,Cambodia,16-April
Cameroon,Central Africa,Africa,2020:04:16 02:26:13,848,17,165,666,Cameroon,16-April
Central African Republic,Central Africa,Africa,2020:04:16 02:26:13,12,0,4,8,Central African Republic,16-April
Chad,Central Africa,Africa,2020:04:16 02:26:13,23,0,2,21,Chad,16-April
Chile,South America,The Americas,2020:04:16 02:26:13,8273,94,2937,5242,Chile,16-April
Colombia,South America,The Americas,2020:04:16 02:26:13,3105,131,452,2522,Colombia,16-April
Congo (Brazzaville),Central Africa,Africa,2020:04:16 02:26:13,117,5,11,101,Congo,16-April
Congo (Kinshasa),Central Africa,Africa,2020:04:16 02:26:13,254,21,21,212,Congo,16-April
Costa Rica,Central America,The Americas,2020:04:16 02:26:13,626,4,67,555,Costa Rica,16-April
Cote d'Ivoire,West Africa,Africa,2020:04:16 02:26:13,654,6,146,502,Ivory Coast,16-April
Croatia,South Europe,Europe,2020:04:16 02:26:13,1741,33,473,1235,Croatia,16-April
Cuba,Caribbean,The Americas,2020:04:16 02:26:13,814,24,151,639,Cuba,16-April
Cyprus,West Asia,Asia,2020:04:16 02:26:13,715,12,65,638,Cyprus,16-April
Czechia,East Europe,Europe,2020:04:16 02:26:13,6301,166,819,5316,Czech Republic,16-April
Diamond Princess,Other,Other,2020:04:16 02:26:13,712,12,644,56,Diamond Princess,16-April
Djibouti,East Africa,Africa,2020:04:16 02:26:13,435,2,71,362,Djibouti,16-April
Dominica,Caribbean,The Americas,2020:04:16 02:26:13,16,0,8,8,Dominica,16-April
Dominican Republic,Caribbean,The Americas,2020:04:16 02:26:13,3614,189,208,3217,Dominican Republic,16-April
Ecuador,South America,The Americas,2020:04:16 02:26:13,7858,388,780,6690,Ecuador,16-April
Egypt,North Africa,Africa,2020:04:16 02:26:13,2505,183,589,1733,Egypt,16-April
El Salvador,Central America,The Americas,2020:04:16 02:26:13,159,6,30,123,El Salvador,16-April
Equatorial Guinea,Central Africa,Africa,2020:04:16 02:26:13,51,0,4,47,Equatorial Guinea,16-April
Eritrea,East Africa,Africa,2020:04:16 02:26:13,35,0,0,35,Eritrea,16-April
Estonia,North Europe,Europe,2020:04:16 02:26:13,1400,35,117,1248,Estonia,16-April
Eswatini,Southern Africa,Africa,2020:04:16 02:26:13,15,0,8,7,Swaziland,16-April
Ethiopia,East Africa,Africa,2020:04:16 02:26:13,85,3,15,67,Ethiopia,16-April
Fiji,Australasia,Oceania,2020:04:16 02:26:13,16,0,0,16,Fiji,16-April
Gabon,Central Africa,Africa,2020:04:16 02:26:13,80,1,4,75,Gabon,16-April
Gambia,West Africa,Africa,2020:04:16 02:26:13,9,1,2,6,"Gambia, The",16-April
Georgia,West Asia,Asia,2020:04:16 02:26:13,306,3,71,232,Georgia,16-April
Ghana,West Africa,Africa,2020:04:16 02:26:13,641,8,83,550,Ghana,16-April
Greece,South Europe,Europe,2020:04:16 02:26:13,2192,102,269,1821,Greece,16-April
Grenada,Caribbean,The Americas,2020:04:16 02:26:13,14,0,0,14,Grenada,16-April
Guatemala,Central America,The Americas,2020:04:16 02:26:13,196,5,19,172,Guatemala,16-April
Guinea,West Africa,Africa,2020:04:16 02:26:13,404,1,31,372,Guinea,16-April
Guinea-Bissau,West Africa,Africa,2020:04:16 02:26:13,43,0,0,43,Guinea-Bissau,16-April
Guyana,South America,The Americas,2020:04:16 02:26:13,55,6,8,41,Guyana,16-April
Haiti,Caribbean,The Americas,2020:04:16 02:26:13,41,3,0,38,Haiti,16-April
Holy See,South Europe,Europe,2020:04:16 02:26:13,8,0,2,6,Holy See,16-April
Honduras,Central America,The Americas,2020:04:16 02:26:13,426,35,9,382,Honduras,16-April
Hungary,East Europe,Europe,2020:04:16 02:26:13,1579,134,192,1253,Hungary,16-April
India,South Asia,Asia,2020:04:16 02:26:13,12370,422,1508,10440,India,16-April
Indonesia,Southeast Asia,Asia,2020:04:16 02:26:13,5136,469,446,4221,Indonesia,16-April
Iran,South Asia,Asia,2020:04:16 02:26:13,76389,4777,49933,21679,Iran,16-April
Iraq,West Asia,Asia,2020:04:16 02:26:13,1415,79,812,524,Iraq,16-April
Israel,West Asia,Asia,2020:04:16 02:26:13,12501,130,2563,9808,Israel,16-April
Jamaica,Caribbean,The Americas,2020:04:16 02:26:13,125,5,21,99,Jamaica,16-April
Japan,East Asia,Asia,2020:04:16 02:26:13,8626,178,901,7547,Japan,16-April
Jordan,West Asia,Asia,2020:04:16 02:26:13,401,7,250,144,Jordan,16-April
Kazakhstan,Central Asia,Asia,2020:04:16 02:26:13,1295,16,240,1039,Kazakhstan,16-April
Kenya,East Africa,Africa,2020:04:16 02:26:13,225,10,53,162,Kenya,16-April
"Korea, South",East Asia,Asia,2020:04:16 02:26:13,10613,229,7757,2627,South Korea,16-April
Kosovo,South Europe,Europe,2020:04:16 02:26:13,387,8,66,313,Kosovo,16-April
Kuwait,West Asia,Asia,2020:04:16 02:26:13,1405,3,206,1196,Kuwait,16-April
Kyrgyzstan,Central Asia,Asia,2020:04:16 02:26:13,449,5,78,366,Kyrgyzstan,16-April
Laos,Southeast Asia,Asia,2020:04:16 02:26:13,19,0,1,18,Laos,16-April
Latvia,North Europe,Europe,2020:04:16 02:26:13,666,5,44,617,Latvia,16-April
Lebanon,West Asia,Asia,2020:04:16 02:26:13,658,21,85,552,Lebanon,16-April
Liberia,West Africa,Africa,2020:04:16 02:26:13,59,6,4,49,Liberia,16-April
Libya,North Africa,Africa,2020:04:16 02:26:13,48,1,11,36,Libya,16-April
Liechtenstein,West Europe,Europe,2020:04:16 02:26:13,79,1,55,23,Liechtenstein,16-April
Lithuania,North Europe,Europe,2020:04:16 02:26:13,1091,30,138,923,Lithuania,16-April
Luxembourg,West Europe,Europe,2020:04:16 02:26:13,3373,69,526,2778,Luxembourg,16-April
MS Zaandam,Other,Other,2020:04:16 02:26:13,9,2,0,7,MS Zaandam,16-April
Madagascar,East Africa,Africa,2020:04:16 02:26:13,110,0,29,81,Madagascar,16-April
Malawi,East Africa,Africa,2020:04:16 02:26:13,16,2,0,14,Malawi,16-April
Malaysia,Southeast Asia,Asia,2020:04:16 02:26:13,5072,83,2647,2342,Malaysia,16-April
Maldives,South Asia,Asia,2020:04:16 02:26:13,23,0,16,7,Maldives,16-April
Mali,West Africa,Africa,2020:04:16 02:26:13,148,13,34,101,Mali,16-April
Malta,South Europe,Europe,2020:04:16 02:26:13,399,3,44,352,Malta,16-April
Mauritania,West Africa,Africa,2020:04:16 02:26:13,7,1,2,4,Mauritania,16-April
Mauritius,East Africa,Africa,2020:04:16 02:26:13,324,9,65,250,Mauritius,16-April
Mexico,Central America,The Americas,2020:04:16 02:26:13,5847,449,2125,3273,Mexico,16-April
Moldova,East Europe,Europe,2020:04:16 02:26:13,2049,46,171,1832,Moldova,16-April
Monaco,West Europe,Europe,2020:04:16 02:26:13,93,3,12,78,Monaco,16-April
Mongolia,East Asia,Asia,2020:04:16 02:26:13,30,0,5,25,Mongolia,16-April
Montenegro,South Europe,Europe,2020:04:16 02:26:13,288,4,55,229,Montenegro,16-April
Morocco,North Africa,Africa,2020:04:16 02:26:13,2024,127,229,1668,Morocco,16-April
Mozambique,East Africa,Africa,2020:04:16 02:26:13,29,0,2,27,Mozambique,16-April
Namibia,Southern Africa,Africa,2020:04:16 02:26:13,16,0,3,13,Namibia,16-April
Nepal,South Asia,Asia,2020:04:16 02:26:13,16,0,1,15,Nepal,16-April
New Zealand,Australasia,Oceania,2020:04:16 02:26:13,1401,9,770,622,New Zealand,16-April
Nicaragua,Central America,The Americas,2020:04:16 02:26:13,9,1,4,4,Nicaragua,16-April
Niger,West Africa,Africa,2020:04:16 02:26:13,584,14,90,480,Niger,16-April
Nigeria,West Africa,Africa,2020:04:16 02:26:13,407,12,128,267,Nigeria,16-April
North Macedonia,South Europe,Europe,2020:04:16 02:26:13,974,45,98,831,Macedonia,16-April
Oman,West Asia,Asia,2020:04:16 02:26:13,910,4,131,775,Oman,16-April
Pakistan,South Asia,Asia,2020:04:16 02:26:13,6383,111,1446,4826,Pakistan,16-April
Panama,Central America,The Americas,2020:04:16 02:26:13,3751,103,75,3573,Panama,16-April
Papua New Guinea,Australasia,Oceania,2020:04:16 02:26:13,2,0,0,2,Papua New Guinea,16-April
Paraguay,South America,The Americas,2020:04:16 02:26:13,174,8,30,136,Paraguay,16-April
Peru,South America,The Americas,2020:04:16 02:26:13,11475,254,3108,8113,Peru,16-April
Philippines,Southeast Asia,Asia,2020:04:16 02:26:13,5453,349,353,4751,Philippines,16-April
Poland,East Europe,Europe,2020:04:16 02:26:13,7582,286,668,6628,Poland,16-April
Portugal,South Europe,Europe,2020:04:16 02:26:13,18091,599,383,17109,Portugal,16-April
Qatar,West Asia,Asia,2020:04:16 02:26:13,3711,7,406,3298,Qatar,16-April
Romania,East Europe,Europe,2020:04:16 02:26:13,7216,372,1217,5627,Romania,16-April
Rwanda,East Africa,Africa,2020:04:16 02:26:13,136,0,54,82,Rwanda,16-April
Saint Kitts and Nevis,Caribbean,The Americas,2020:04:16 02:26:13,14,0,0,14,St. Kitts and Nevis,16-April
Saint Lucia,Caribbean,The Americas,2020:04:16 02:26:13,15,0,11,4,St. Lucia,16-April
Saint Vincent and the Grenadines,Caribbean,The Americas,2020:04:16 02:26:13,12,0,1,11,St. Vincent and the Grenadines,16-April
San Marino,South Europe,Europe,2020:04:16 02:26:13,393,36,53,304,San Marino,16-April
Sao Tome and Principe,Central Africa,Africa,2020:04:16 02:26:13,4,0,0,4,Sao Tome and Principe,16-April
Saudi Arabia,West Asia,Asia,2020:04:16 02:26:13,5862,79,931,4852,Saudi Arabia,16-April
Senegal,West Africa,Africa,2020:04:16 02:26:13,314,2,190,122,Senegal,16-April
Serbia,South Europe,Europe,2020:04:16 02:26:13,4873,99,0,4774,Serbia,16-April
Seychelles,East Africa,Africa,2020:04:16 02:26:13,11,0,0,11,Seychelles,16-April
Sierra Leone,West Africa,Africa,2020:04:16 02:26:13,13,0,0,13,Sierra Leone,16-April
Singapore,Southeast Asia,Asia,2020:04:16 02:26:13,3699,10,652,3037,Singapore,16-April
Slovakia,East Europe,Europe,2020:04:16 02:26:13,863,6,151,706,Slovakia,16-April
Slovenia,South Europe,Europe,2020:04:16 02:26:13,1248,61,165,1022,Slovenia,16-April
Somalia,East Africa,Africa,2020:04:16 02:26:13,80,5,2,73,Somalia,16-April
South Africa,Southern Africa,Africa,2020:04:16 02:26:13,2506,34,410,2062,South Africa,16-April
South Sudan,North Africa,Africa,2020:04:16 02:26:13,4,0,0,4,South Sudan,16-April
Spain,South Europe,Europe,2020:04:16 02:26:13,180659,18812,70853,90994,Spain,16-April
Sri Lanka,South Asia,Asia,2020:04:16 02:26:13,238,7,63,168,Sri Lanka,16-April
Sudan,East Africa,Africa,2020:04:16 02:26:13,32,5,4,23,Sudan,16-April
Suriname,South America,The Americas,2020:04:16 02:26:13,10,1,6,3,Suriname,16-April
Syria,West Asia,Asia,2020:04:16 02:26:13,33,2,5,26,Syria,16-April
Taiwan,East Asia,Asia,2020:04:15 14:46:10,395,6,124,265,Taiwan,16-April
Tanzania,East Africa,Africa,2020:04:16 02:26:13,88,4,11,73,"Tanzania, United Republic of",16-April
Thailand,Southeast Asia,Asia,2020:04:16 02:26:13,2643,43,1497,1103,Thailand,16-April
Timor-Leste,Southeast Asia,Asia,2020:04:16 02:26:13,8,0,1,7,Timor-Leste,16-April
Togo,West Africa,Africa,2020:04:16 02:26:13,81,3,35,43,Togo,16-April
Trinidad and Tobago,Caribbean,The Americas,2020:04:16 02:26:13,114,8,20,86,Trinidad and Tobago,16-April
Tunisia,North Africa,Africa,2020:04:16 02:26:13,780,35,43,702,Tunisia,16-April
Turkey,West Asia,Asia,2020:04:16 02:26:13,69392,1518,5674,62200,Turkey,16-April
Uganda,East Africa,Africa,2020:04:16 02:26:13,55,0,12,43,Uganda,16-April
Ukraine,East Europe,Europe,2020:04:16 02:26:13,3764,108,143,3513,Ukraine,16-April
United Arab Emirates,West Asia,Asia,2020:04:16 02:26:13,5365,33,1034,4298,United Arab Emirates,16-April
Uruguay,South America,The Americas,2020:04:16 02:26:13,493,9,272,212,Uruguay,16-April
Uzbekistan,Central Asia,Asia,2020:04:16 02:26:13,1302,4,107,1191,Uzbekistan,16-April
Venezuela,South America,The Americas,2020:04:16 02:26:13,197,9,111,77,Venezuela,16-April
Vietnam,Southeast Asia,Asia,2020:04:16 02:26:13,268,0,171,97,Vietnam,16-April
West Bank and Gaza,West Asia,Asia,2020:04:16 02:26:13,374,2,63,309,Gaza Strip,16-April
Western Sahara,West Africa,Africa,2020:04:16 02:26:13,6,0,0,6,Western Sahara,16-April
Yemen,West Asia,Asia,2020:04:16 02:26:13,1,0,0,1,Yemen,16-April
Zambia,East Africa,Africa,2020:04:16 02:26:13,48,2,30,16,Zambia,16-April
Zimbabwe,Southern Africa,Africa,2020:04:16 02:26:13,23,3,1,19,Zimbabwe,16-April
