Unique ID,Road transport code,Year,Region,South Island Dual Fuel Trucks,Diesel Emissions,Duel Fuel Emissions,Duel fuel emmission savings,Emissions total,Abatement Duel fuel diesel hydrogen,Abatement fuel cell electric vehicle,Abatement biodiesel (FAME),Abatement renewable diesel,
FURNITURE REMOVALS-Canterbury Region-2022,FURNITURE REMOVALS,2022,Canterbury Region,2,0,264,0,0,264,0,0,0,0
GENERAL GOODS - LINE HAULAGE-Canterbury Region-2022,GENERAL GOODS - LINE HAULAGE,2022,Canterbury Region,397,0,52404,0,0,52404,0,0,0,0
GENERAL GOODS - LOCAL-Canterbury Region-2022,GENERAL GOODS - LOCAL,2022,Canterbury Region,342,0,45144,0,0,45144,0,0,0,0
HEAVY HAULAGE-Canterbury Region-2022,HEAVY HAULAGE,2022,Canterbury Region,44,0,5808,0,0,5808,0,0,0,0
LOG HAULAGE-Canterbury Region-2022,LOG HAULAGE,2022,Canterbury Region,102,0,13464,0,0,13464,0,0,0,0
REFRIG. HAULAGE-Canterbury Region-2022,REFRIG. HAULAGE,2022,Canterbury Region,33,0,4356,0,0,4356,0,0,0,0
STOCK CARTAGE-Canterbury Region-2022,STOCK CARTAGE,2022,Canterbury Region,176,0,23232,0,0,23232,0,0,0,0
FURNITURE REMOVALS-Otago Region-2022,FURNITURE REMOVALS,2022,Otago Region,1,0,132,0,0,132,0,0,0,0
GENERAL GOODS - LINE HAULAGE-Otago Region-2022,GENERAL GOODS - LINE HAULAGE,2022,Otago Region,180,0,23760,0,0,23760,0,0,0,0
GENERAL GOODS - LOCAL-Otago Region-2022,GENERAL GOODS - LOCAL,2022,Otago Region,192,0,25344,0,0,25344,0,0,0,0
HEAVY HAULAGE-Otago Region-2022,HEAVY HAULAGE,2022,Otago Region,46,0,6072,0,0,6072,0,0,0,0
LOG HAULAGE-Otago Region-2022,LOG HAULAGE,2022,Otago Region,201,0,26532,0,0,26532,0,0,0,0
REFRIG. HAULAGE-Otago Region-2022,REFRIG. HAULAGE,2022,Otago Region,12,0,1584,0,0,1584,0,0,0,0
STOCK CARTAGE-Otago Region-2022,STOCK CARTAGE,2022,Otago Region,147,0,19404,0,0,19404,0,0,0,0
GENERAL GOODS - LINE HAULAGE-Tasman Marlborough-2022,GENERAL GOODS - LINE HAULAGE,2022,Tasman Marlborough,89,0,11748,0,0,11748,0,0,0,0
GENERAL GOODS - LOCAL-Tasman Marlborough-2022,GENERAL GOODS - LOCAL,2022,Tasman Marlborough,64,0,8448,0,0,8448,0,0,0,0
HEAVY HAULAGE-Tasman Marlborough-2022,HEAVY HAULAGE,2022,Tasman Marlborough,10,0,1320,0,0,1320,0,0,0,0
LOG HAULAGE-Tasman Marlborough-2022,LOG HAULAGE,2022,Tasman Marlborough,134,0,17688,0,0,17688,0,0,0,0
REFRIG. HAULAGE-Tasman Marlborough-2022,REFRIG. HAULAGE,2022,Tasman Marlborough,8,0,1056,0,0,1056,0,0,0,0
STOCK CARTAGE-Tasman Marlborough-2022,STOCK CARTAGE,2022,Tasman Marlborough,23,0,3036,0,0,3036,0,0,0,0
GENERAL GOODS - LINE HAULAGE-West Coast Region-2022,GENERAL GOODS - LINE HAULAGE,2022,West Coast Region,6,0,792,0,0,792,0,0,0,0
GENERAL GOODS - LOCAL-West Coast Region-2022,GENERAL GOODS - LOCAL,2022,West Coast Region,8,0,1056,0,0,1056,0,0,0,0
HEAVY HAULAGE-West Coast Region-2022,HEAVY HAULAGE,2022,West Coast Region,1,0,132,0,0,132,0,0,0,0
LOG HAULAGE-West Coast Region-2022,LOG HAULAGE,2022,West Coast Region,4,0,528,0,0,528,0,0,0,0
STOCK CARTAGE-West Coast Region-2022,STOCK CARTAGE,2022,West Coast Region,10,0,1320,0,0,1320,0,0,0,0
FURNITURE REMOVALS-Canterbury Region-2022-Dual fuel,FURNITURE REMOVALS,2022,Canterbury Region,0,0,0,0,0,0,0,0,0,0
GENERAL GOODS - LINE HAULAGE-Canterbury Region-2022-Dual fuel,GENERAL GOODS - LINE HAULAGE,2022,Canterbury Region,0,2,0,158.4,-105.6,158.4,68904,85272,235224,252120
GENERAL GOODS - LOCAL-Canterbury Region-2022-Dual fuel,GENERAL GOODS - LOCAL,2022,Canterbury Region,0,0,0,0,0,0,0,0,0,0
HEAVY HAULAGE-Canterbury Region-2022-Dual fuel,HEAVY HAULAGE,2022,Canterbury Region,0,0,0,0,0,0,0,0,0,0
LOG HAULAGE-Canterbury Region-2022-Dual fuel,LOG HAULAGE,2022,Canterbury Region,0,0,0,0,0,0,0,0,0,0
REFRIG. HAULAGE-Canterbury Region-2022-Dual fuel,REFRIG. HAULAGE,2022,Canterbury Region,0,0,0,0,0,0,0,0,0,0
STOCK CARTAGE-Canterbury Region-2022-Dual fuel,STOCK CARTAGE,2022,Canterbury Region,0,0,0,0,0,0,0,0,0,0
FURNITURE REMOVALS-Otago Region-2022-Dual fuel,FURNITURE REMOVALS,2022,Otago Region,0,0,0,0,0,0,0,0,0,0
GENERAL GOODS - LINE HAULAGE-Otago Region-2022-Dual fuel,GENERAL GOODS - LINE HAULAGE,2022,Otago Region,0,7,0,554.4,-369.6,554.4,241164,298452,823284,882420
GENERAL GOODS - LOCAL-Otago Region-2022-Dual fuel,GENERAL GOODS - LOCAL,2022,Otago Region,0,7,0,554.4,-369.6,554.4,241164,298452,823284,882420
HEAVY HAULAGE-Otago Region-2022-Dual fuel,HEAVY HAULAGE,2022,Otago Region,0,0,0,0,0,0,0,0,0,0
LOG HAULAGE-Otago Region-2022-Dual fuel,LOG HAULAGE,2022,Otago Region,0,4,0,316.8,-211.2,316.8,137808,170544,470448,504240
REFRIG. HAULAGE-Otago Region-2022-Dual fuel,REFRIG. HAULAGE,2022,Otago Region,0,0,0,0,0,0,0,0,0,0
STOCK CARTAGE-Otago Region-2022-Dual fuel,STOCK CARTAGE,2022,Otago Region,0,0,0,0,0,0,0,0,0,0
GENERAL GOODS - LINE HAULAGE-Tasman Marlborough-2022-Dual fuel,GENERAL GOODS - LINE HAULAGE,2022,Tasman Marlborough,0,0,0,0,0,0,0,0,0,0
GENERAL GOODS - LOCAL-Tasman Marlborough-2022-Dual fuel,GENERAL GOODS - LOCAL,2022,Tasman Marlborough,0,0,0,0,0,0,0,0,0,0
HEAVY HAULAGE-Tasman Marlborough-2022-Dual fuel,HEAVY HAULAGE,2022,Tasman Marlborough,0,0,0,0,0,0,0,0,0,0
LOG HAULAGE-Tasman Marlborough-2022-Dual fuel,LOG HAULAGE,2022,Tasman Marlborough,0,0,0,0,0,0,0,0,0,0
REFRIG. HAULAGE-Tasman Marlborough-2022-Dual fuel,REFRIG. HAULAGE,2022,Tasman Marlborough,0,0,0,0,0,0,0,0,0,0
STOCK CARTAGE-Tasman Marlborough-2022-Dual fuel,STOCK CARTAGE,2022,Tasman Marlborough,0,0,0,0,0,0,0,0,0,0
GENERAL GOODS - LINE HAULAGE-West Coast Region-2022-Dual fuel,GENERAL GOODS - LINE HAULAGE,2022,West Coast Region,0,0,0,0,0,0,0,0,0,0
GENERAL GOODS - LOCAL-West Coast Region-2022-Dual fuel,GENERAL GOODS - LOCAL,2022,West Coast Region,0,0,0,0,0,0,0,0,0,0
HEAVY HAULAGE-West Coast Region-2022-Dual fuel,HEAVY HAULAGE,2022,West Coast Region,0,0,0,0,0,0,0,0,0,0
LOG HAULAGE-West Coast Region-2022-Dual fuel,LOG HAULAGE,2022,West Coast Region,0,0,0,0,0,0,0,0,0,0
STOCK CARTAGE-West Coast Region-2022-Dual fuel,STOCK CARTAGE,2022,West Coast Region,0,0,0,0,0,0,0,0,0,0
FURNITURE REMOVALS-Canterbury Region-2023,FURNITURE REMOVALS,2023,Canterbury Region,2,0,264,0,0,264,0,0,0,0
GENERAL GOODS - LINE HAULAGE-Canterbury Region-2023,GENERAL GOODS - LINE HAULAGE,2023,Canterbury Region,369,0,48708,0,0,48708,0,0,0,0
GENERAL GOODS - LOCAL-Canterbury Region-2023,GENERAL GOODS - LOCAL,2023,Canterbury Region,322,0,42504,0,0,42504,0,0,0,0
HEAVY HAULAGE-Canterbury Region-2023,HEAVY HAULAGE,2023,Canterbury Region,44,0,5808,0,0,5808,0,0,0,0
LOG HAULAGE-Canterbury Region-2023,LOG HAULAGE,2023,Canterbury Region,102,0,13464,0,0,13464,0,0,0,0
REFRIG. HAULAGE-Canterbury Region-2023,REFRIG. HAULAGE,2023,Canterbury Region,33,0,4356,0,0,4356,0,0,0,0
STOCK CARTAGE-Canterbury Region-2023,STOCK CARTAGE,2023,Canterbury Region,176,0,23232,0,0,23232,0,0,0,0
FURNITURE REMOVALS-Otago Region-2023,FURNITURE REMOVALS,2023,Otago Region,1,0,132,0,0,132,0,0,0,0
GENERAL GOODS - LINE HAULAGE-Otago Region-2023,GENERAL GOODS - LINE HAULAGE,2023,Otago Region,157,0,20724,0,0,20724,0,0,0,0
GENERAL GOODS - LOCAL-Otago Region-2023,GENERAL GOODS - LOCAL,2023,Otago Region,159,0,20988,0,0,20988,0,0,0,0
HEAVY HAULAGE-Otago Region-2023,HEAVY HAULAGE,2023,Otago Region,46,0,6072,0,0,6072,0,0,0,0
LOG HAULAGE-Otago Region-2023,LOG HAULAGE,2023,Otago Region,181,0,23892,0,0,23892,0,0,0,0
REFRIG. HAULAGE-Otago Region-2023,REFRIG. HAULAGE,2023,Otago Region,12,0,1584,0,0,1584,0,0,0,0
STOCK CARTAGE-Otago Region-2023,STOCK CARTAGE,2023,Otago Region,127,0,16764,0,0,16764,0,0,0,0
GENERAL GOODS - LINE HAULAGE-Tasman Marlborough-2023,GENERAL GOODS - LINE HAULAGE,2023,Tasman Marlborough,79,0,10428,0,0,10428,0,0,0,0
GENERAL GOODS - LOCAL-Tasman Marlborough-2023,GENERAL GOODS - LOCAL,2023,Tasman Marlborough,54,0,7128,0,0,7128,0,0,0,0
HEAVY HAULAGE-Tasman Marlborough-2023,HEAVY HAULAGE,2023,Tasman Marlborough,10,0,1320,0,0,1320,0,0,0,0
LOG HAULAGE-Tasman Marlborough-2023,LOG HAULAGE,2023,Tasman Marlborough,124,0,16368,0,0,16368,0,0,0,0
REFRIG. HAULAGE-Tasman Marlborough-2023,REFRIG. HAULAGE,2023,Tasman Marlborough,8,0,1056,0,0,1056,0,0,0,0
STOCK CARTAGE-Tasman Marlborough-2023,STOCK CARTAGE,2023,Tasman Marlborough,23,0,3036,0,0,3036,0,0,0,0
GENERAL GOODS - LINE HAULAGE-West Coast Region-2023,GENERAL GOODS - LINE HAULAGE,2023,West Coast Region,6,0,792,0,0,792,0,0,0,0
GENERAL GOODS - LOCAL-West Coast Region-2023,GENERAL GOODS - LOCAL,2023,West Coast Region,1,0,132,0,0,132,0,0,0,0
HEAVY HAULAGE-West Coast Region-2023,HEAVY HAULAGE,2023,West Coast Region,1,0,132,0,0,132,0,0,0,0
LOG HAULAGE-West Coast Region-2023,LOG HAULAGE,2023,West Coast Region,4,0,528,0,0,528,0,0,0,0
STOCK CARTAGE-West Coast Region-2023,STOCK CARTAGE,2023,West Coast Region,10,0,1320,0,0,1320,0,0,0,0
FURNITURE REMOVALS-Canterbury Region-2023-Dual fuel,FURNITURE REMOVALS,2023,Canterbury Region,0,0,0,0,0,0,0,0,0,0
GENERAL GOODS - LINE HAULAGE-Canterbury Region-2023-Dual fuel,GENERAL GOODS - LINE HAULAGE,2023,Canterbury Region,0,30,0,2376,-1584,2376,1033560,1279080,3528360,3781800
GENERAL GOODS - LOCAL-Canterbury Region-2023-Dual fuel,GENERAL GOODS - LOCAL,2023,Canterbury Region,0,20,0,1584,-1056,1584,689040,852720,2352240,2521200
HEAVY HAULAGE-Canterbury Region-2023-Dual fuel,HEAVY HAULAGE,2023,Canterbury Region,0,0,0,0,0,0,0,0,0,0
LOG HAULAGE-Canterbury Region-2023-Dual fuel,LOG HAULAGE,2023,Canterbury Region,0,0,0,0,0,0,0,0,0,0
REFRIG. HAULAGE-Canterbury Region-2023-Dual fuel,REFRIG. HAULAGE,2023,Canterbury Region,0,0,0,0,0,0,0,0,0,0
STOCK CARTAGE-Canterbury Region-2023-Dual fuel,STOCK CARTAGE,2023,Canterbury Region,0,0,0,0,0,0,0,0,0,0
FURNITURE REMOVALS-Otago Region-2023-Dual fuel,FURNITURE REMOVALS,2023,Otago Region,0,0,0,0,0,0,0,0,0,0
GENERAL GOODS - LINE HAULAGE-Otago Region-2023-Dual fuel,GENERAL GOODS - LINE HAULAGE,2023,Otago Region,0,30,0,2376,-1584,2376,1033560,1279080,3528360,3781800
GENERAL GOODS - LOCAL-Otago Region-2023-Dual fuel,GENERAL GOODS - LOCAL,2023,Otago Region,0,40,0,3168,-2112,3168,1378080,1705440,4704480,5042400
HEAVY HAULAGE-Otago Region-2023-Dual fuel,HEAVY HAULAGE,2023,Otago Region,0,0,0,0,0,0,0,0,0,0
LOG HAULAGE-Otago Region-2023-Dual fuel,LOG HAULAGE,2023,Otago Region,0,24,0,1900.8,-1267.2,1900.8,826848,1023264,2822688,3025440
REFRIG. HAULAGE-Otago Region-2023-Dual fuel,REFRIG. HAULAGE,2023,Otago Region,0,0,0,0,0,0,0,0,0,0
STOCK CARTAGE-Otago Region-2023-Dual fuel,STOCK CARTAGE,2023,Otago Region,0,20,0,1584,-1056,1584,689040,852720,2352240,2521200
GENERAL GOODS - LINE HAULAGE-Tasman Marlborough-2023-Dual fuel,GENERAL GOODS - LINE HAULAGE,2023,Tasman Marlborough,0,10,0,792,-528,792,344520,426360,1176120,1260600
GENERAL GOODS - LOCAL-Tasman Marlborough-2023-Dual fuel,GENERAL GOODS - LOCAL,2023,Tasman Marlborough,0,10,0,792,-528,792,344520,426360,1176120,1260600
HEAVY HAULAGE-Tasman Marlborough-2023-Dual fuel,HEAVY HAULAGE,2023,Tasman Marlborough,0,0,0,0,0,0,0,0,0,0
LOG HAULAGE-Tasman Marlborough-2023-Dual fuel,LOG HAULAGE,2023,Tasman Marlborough,0,10,0,792,-528,792,344520,426360,1176120,1260600
REFRIG. HAULAGE-Tasman Marlborough-2023-Dual fuel,REFRIG. HAULAGE,2023,Tasman Marlborough,0,0,0,0,0,0,0,0,0,0
STOCK CARTAGE-Tasman Marlborough-2023-Dual fuel,STOCK CARTAGE,2023,Tasman Marlborough,0,0,0,0,0,0,0,0,0,0
GENERAL GOODS - LINE HAULAGE-West Coast Region-2023-Dual fuel,GENERAL GOODS - LINE HAULAGE,2023,West Coast Region,0,0,0,0,0,0,0,0,0,0
GENERAL GOODS - LOCAL-West Coast Region-2023-Dual fuel,GENERAL GOODS - LOCAL,2023,West Coast Region,0,7,0,554.4,-369.6,554.4,241164,298452,823284,882420
HEAVY HAULAGE-West Coast Region-2023-Dual fuel,HEAVY HAULAGE,2023,West Coast Region,0,0,0,0,0,0,0,0,0,0
LOG HAULAGE-West Coast Region-2023-Dual fuel,LOG HAULAGE,2023,West Coast Region,0,0,0,0,0,0,0,0,0,0
STOCK CARTAGE-West Coast Region-2023-Dual fuel,STOCK CARTAGE,2023,West Coast Region,0,0,0,0,0,0,0,0,0,0
FURNITURE REMOVALS-Canterbury Region-2024,FURNITURE REMOVALS,2024,Canterbury Region,2,0,264,0,0,264,0,0,0,0
GENERAL GOODS - LINE HAULAGE-Canterbury Region-2024,GENERAL GOODS - LINE HAULAGE,2024,Canterbury Region,339,0,44748,0,0,44748,0,0,0,0
GENERAL GOODS - LOCAL-Canterbury Region-2024,GENERAL GOODS - LOCAL,2024,Canterbury Region,312,0,41184,0,0,41184,0,0,0,0
HEAVY HAULAGE-Canterbury Region-2024,HEAVY HAULAGE,2024,Canterbury Region,44,0,5808,0,0,5808,0,0,0,0
LOG HAULAGE-Canterbury Region-2024,LOG HAULAGE,2024,Canterbury Region,92,0,12144,0,0,12144,0,0,0,0
REFRIG. HAULAGE-Canterbury Region-2024,REFRIG. HAULAGE,2024,Canterbury Region,33,0,4356,0,0,4356,0,0,0,0
STOCK CARTAGE-Canterbury Region-2024,STOCK CARTAGE,2024,Canterbury Region,176,0,23232,0,0,23232,0,0,0,0
FURNITURE REMOVALS-Otago Region-2024,FURNITURE REMOVALS,2024,Otago Region,1,0,132,0,0,132,0,0,0,0
GENERAL GOODS - LINE HAULAGE-Otago Region-2024,GENERAL GOODS - LINE HAULAGE,2024,Otago Region,137,0,18084,0,0,18084,0,0,0,0
GENERAL GOODS - LOCAL-Otago Region-2024,GENERAL GOODS - LOCAL,2024,Otago Region,139,0,18348,0,0,18348,0,0,0,0
HEAVY HAULAGE-Otago Region-2024,HEAVY HAULAGE,2024,Otago Region,26,0,3432,0,0,3432,0,0,0,0
LOG HAULAGE-Otago Region-2024,LOG HAULAGE,2024,Otago Region,161,0,21252,0,0,21252,0,0,0,0
REFRIG. HAULAGE-Otago Region-2024,REFRIG. HAULAGE,2024,Otago Region,12,0,1584,0,0,1584,0,0,0,0
STOCK CARTAGE-Otago Region-2024,STOCK CARTAGE,2024,Otago Region,107,0,14124,0,0,14124,0,0,0,0
GENERAL GOODS - LINE HAULAGE-Tasman Marlborough-2024,GENERAL GOODS - LINE HAULAGE,2024,Tasman Marlborough,69,0,9108,0,0,9108,0,0,0,0
GENERAL GOODS - LOCAL-Tasman Marlborough-2024,GENERAL GOODS - LOCAL,2024,Tasman Marlborough,44,0,5808,0,0,5808,0,0,0,0
HEAVY HAULAGE-Tasman Marlborough-2024,HEAVY HAULAGE,2024,Tasman Marlborough,10,0,1320,0,0,1320,0,0,0,0
LOG HAULAGE-Tasman Marlborough-2024,LOG HAULAGE,2024,Tasman Marlborough,114,0,15048,0,0,15048,0,0,0,0
REFRIG. HAULAGE-Tasman Marlborough-2024,REFRIG. HAULAGE,2024,Tasman Marlborough,8,0,1056,0,0,1056,0,0,0,0
STOCK CARTAGE-Tasman Marlborough-2024,STOCK CARTAGE,2024,Tasman Marlborough,23,0,3036,0,0,3036,0,0,0,0
GENERAL GOODS - LINE HAULAGE-West Coast Region-2024,GENERAL GOODS - LINE HAULAGE,2024,West Coast Region,6,0,792,0,0,792,0,0,0,0
GENERAL GOODS - LOCAL-West Coast Region-2024,GENERAL GOODS - LOCAL,2024,West Coast Region,1,0,132,0,0,132,0,0,0,0
HEAVY HAULAGE-West Coast Region-2024,HEAVY HAULAGE,2024,West Coast Region,1,0,132,0,0,132,0,0,0,0
LOG HAULAGE-West Coast Region-2024,LOG HAULAGE,2024,West Coast Region,4,0,528,0,0,528,0,0,0,0
STOCK CARTAGE-West Coast Region-2024,STOCK CARTAGE,2024,West Coast Region,9,0,1188,0,0,1188,0,0,0,0
FURNITURE REMOVALS-Canterbury Region-2024-Dual fuel,FURNITURE REMOVALS,2024,Canterbury Region,0,0,0,0,0,0,0,0,0,0
GENERAL GOODS - LINE HAULAGE-Canterbury Region-2024-Dual fuel,GENERAL GOODS - LINE HAULAGE,2024,Canterbury Region,0,60,0,4752,-3168,4752,2067120,2558160,7056720,7563600
GENERAL GOODS - LOCAL-Canterbury Region-2024-Dual fuel,GENERAL GOODS - LOCAL,2024,Canterbury Region,0,30,0,2376,-1584,2376,1033560,1279080,3528360,3781800
HEAVY HAULAGE-Canterbury Region-2024-Dual fuel,HEAVY HAULAGE,2024,Canterbury Region,0,0,0,0,0,0,0,0,0,0
LOG HAULAGE-Canterbury Region-2024-Dual fuel,LOG HAULAGE,2024,Canterbury Region,0,10,0,792,-528,792,344520,426360,1176120,1260600
REFRIG. HAULAGE-Canterbury Region-2024-Dual fuel,REFRIG. HAULAGE,2024,Canterbury Region,0,0,0,0,0,0,0,0,0,0
STOCK CARTAGE-Canterbury Region-2024-Dual fuel,STOCK CARTAGE,2024,Canterbury Region,0,0,0,0,0,0,0,0,0,0
FURNITURE REMOVALS-Otago Region-2024-Dual fuel,FURNITURE REMOVALS,2024,Otago Region,0,0,0,0,0,0,0,0,0,0
GENERAL GOODS - LINE HAULAGE-Otago Region-2024-Dual fuel,GENERAL GOODS - LINE HAULAGE,2024,Otago Region,0,50,0,3960,-2640,3960,1722600,2131800,5880600,6303000
GENERAL GOODS - LOCAL-Otago Region-2024-Dual fuel,GENERAL GOODS - LOCAL,2024,Otago Region,0,60,0,4752,-3168,4752,2067120,2558160,7056720,7563600
HEAVY HAULAGE-Otago Region-2024-Dual fuel,HEAVY HAULAGE,2024,Otago Region,0,20,0,1584,-1056,1584,689040,852720,2352240,2521200
LOG HAULAGE-Otago Region-2024-Dual fuel,LOG HAULAGE,2024,Otago Region,0,44,0,3484.8,-2323.2,3484.8,1515888,1875984,5174928,5546640
REFRIG. HAULAGE-Otago Region-2024-Dual fuel,REFRIG. HAULAGE,2024,Otago Region,0,0,0,0,0,0,0,0,0,0
STOCK CARTAGE-Otago Region-2024-Dual fuel,STOCK CARTAGE,2024,Otago Region,0,40,0,3168,-2112,3168,1378080,1705440,4704480,5042400
GENERAL GOODS - LINE HAULAGE-Tasman Marlborough-2024-Dual fuel,GENERAL GOODS - LINE HAULAGE,2024,Tasman Marlborough,0,20,0,1584,-1056,1584,689040,852720,2352240,2521200
GENERAL GOODS - LOCAL-Tasman Marlborough-2024-Dual fuel,GENERAL GOODS - LOCAL,2024,Tasman Marlborough,0,20,0,1584,-1056,1584,689040,852720,2352240,2521200
HEAVY HAULAGE-Tasman Marlborough-2024-Dual fuel,HEAVY HAULAGE,2024,Tasman Marlborough,0,0,0,0,0,0,0,0,0,0
LOG HAULAGE-Tasman Marlborough-2024-Dual fuel,LOG HAULAGE,2024,Tasman Marlborough,0,20,0,1584,-1056,1584,689040,852720,2352240,2521200
REFRIG. HAULAGE-Tasman Marlborough-2024-Dual fuel,REFRIG. HAULAGE,2024,Tasman Marlborough,0,0,0,0,0,0,0,0,0,0
STOCK CARTAGE-Tasman Marlborough-2024-Dual fuel,STOCK CARTAGE,2024,Tasman Marlborough,0,0,0,0,0,0,0,0,0,0
GENERAL GOODS - LINE HAULAGE-West Coast Region-2024-Dual fuel,GENERAL GOODS - LINE HAULAGE,2024,West Coast Region,0,0,0,0,0,0,0,0,0,0
GENERAL GOODS - LOCAL-West Coast Region-2024-Dual fuel,GENERAL GOODS - LOCAL,2024,West Coast Region,0,7,0,554.4,-369.6,554.4,241164,298452,823284,882420
HEAVY HAULAGE-West Coast Region-2024-Dual fuel,HEAVY HAULAGE,2024,West Coast Region,0,0,0,0,0,0,0,0,0,0
LOG HAULAGE-West Coast Region-2024-Dual fuel,LOG HAULAGE,2024,West Coast Region,0,0,0,0,0,0,0,0,0,0
STOCK CARTAGE-West Coast Region-2024-Dual fuel,STOCK CARTAGE,2024,West Coast Region,0,1,0,79.2,-52.8,79.2,34452,42636,117612,126060
FURNITURE REMOVALS-Canterbury Region-2025,FURNITURE REMOVALS,2025,Canterbury Region,2,0,264,0,0,264,0,0,0,0
