Unique ID,Road transport code,Year,Region,South Island Dual Fuel Trucks,Diesel Emissions,Duel Fuel Emissions,Duel fuel emmission savings,Emissions total,Abatement Duel fuel diesel hydrogen,Abatement fuel cell electric vehicle,Abatement biodiesel (FAME),Abatement renewable diesel,
GENERAL GOODS - LINE HAULAGE-Canterbury Region-2025,GENERAL GOODS - LINE HAULAGE,2025,Canterbury Region,309,0,40788,0,0,40788,0,0,0,0
GENERAL GOODS - LOCAL-Canterbury Region-2025,GENERAL GOODS - LOCAL,2025,Canterbury Region,302,0,39864,0,0,39864,0,0,0,0
HEAVY HAULAGE-Canterbury Region-2025,HEAVY HAULAGE,2025,Canterbury Region,44,0,5808,0,0,5808,0,0,0,0
LOG HAULAGE-Canterbury Region-2025,LOG HAULAGE,2025,Canterbury Region,82,0,10824,0,0,10824,0,0,0,0
REFRIG. HAULAGE-Canterbury Region-2025,REFRIG. HAULAGE,2025,Canterbury Region,33,0,4356,0,0,4356,0,0,0,0
STOCK CARTAGE-Canterbury Region-2025,STOCK CARTAGE,2025,Canterbury Region,176,0,23232,0,0,23232,0,0,0,0
FURNITURE REMOVALS-Otago Region-2025,FURNITURE REMOVALS,2025,Otago Region,1,0,132,0,0,132,0,0,0,0
GENERAL GOODS - LINE HAULAGE-Otago Region-2025,GENERAL GOODS - LINE HAULAGE,2025,Otago Region,117,0,15444,0,0,15444,0,0,0,0
GENERAL GOODS - LOCAL-Otago Region-2025,GENERAL GOODS - LOCAL,2025,Otago Region,119,0,15708,0,0,15708,0,0,0,0
HEAVY HAULAGE-Otago Region-2025,HEAVY HAULAGE,2025,Otago Region,26,0,3432,0,0,3432,0,0,0,0
LOG HAULAGE-Otago Region-2025,LOG HAULAGE,2025,Otago Region,130,0,17160,0,0,17160,0,0,0,0
REFRIG. HAULAGE-Otago Region-2025,REFRIG. HAULAGE,2025,Otago Region,12,0,1584,0,0,1584,0,0,0,0
STOCK CARTAGE-Otago Region-2025,STOCK CARTAGE,2025,Otago Region,78,0,10296,0,0,10296,0,0,0,0
GENERAL GOODS - LINE HAULAGE-Tasman Marlborough-2025,GENERAL GOODS - LINE HAULAGE,2025,Tasman Marlborough,59,0,7788,0,0,7788,0,0,0,0
GENERAL GOODS - LOCAL-Tasman Marlborough-2025,GENERAL GOODS - LOCAL,2025,Tasman Marlborough,34,0,4488,0,0,4488,0,0,0,0
HEAVY HAULAGE-Tasman Marlborough-2025,HEAVY HAULAGE,2025,Tasman Marlborough,10,0,1320,0,0,1320,0,0,0,0
LOG HAULAGE-Tasman Marlborough-2025,LOG HAULAGE,2025,Tasman Marlborough,104,0,13728,0,0,13728,0,0,0,0
REFRIG. HAULAGE-Tasman Marlborough-2025,REFRIG. HAULAGE,2025,Tasman Marlborough,8,0,1056,0,0,1056,0,0,0,0
STOCK CARTAGE-Tasman Marlborough-2025,STOCK CARTAGE,2025,Tasman Marlborough,23,0,3036,0,0,3036,0,0,0,0
GENERAL GOODS - LINE HAULAGE-West Coast Region-2025,GENERAL GOODS - LINE HAULAGE,2025,West Coast Region,5,0,660,0,0,660,0,0,0,0
GENERAL GOODS - LOCAL-West Coast Region-2025,GENERAL GOODS - LOCAL,2025,West Coast Region,1,0,132,0,0,132,0,0,0,0
HEAVY HAULAGE-West Coast Region-2025,HEAVY HAULAGE,2025,West Coast Region,1,0,132,0,0,132,0,0,0,0
LOG HAULAGE-West Coast Region-2025,LOG HAULAGE,2025,West Coast Region,4,0,528,0,0,528,0,0,0,0
STOCK CARTAGE-West Coast Region-2025,STOCK CARTAGE,2025,West Coast Region,9,0,1188,0,0,1188,0,0,0,0
FURNITURE REMOVALS-Canterbury Region-2025-Dual fuel,FURNITURE REMOVALS,2025,Canterbury Region,0,0,0,0,0,0,0,0,0,0
GENERAL GOODS - LINE HAULAGE-Canterbury Region-2025-Dual fuel,GENERAL GOODS - LINE HAULAGE,2025,Canterbury Region,0,90,0,7128,-4752,7128,3100680,3837240,10585080,11345400
GENERAL GOODS - LOCAL-Canterbury Region-2025-Dual fuel,GENERAL GOODS - LOCAL,2025,Canterbury Region,0,40,0,3168,-2112,3168,1378080,1705440,4704480,5042400
HEAVY HAULAGE-Canterbury Region-2025-Dual fuel,HEAVY HAULAGE,2025,Canterbury Region,0,0,0,0,0,0,0,0,0,0
LOG HAULAGE-Canterbury Region-2025-Dual fuel,LOG HAULAGE,2025,Canterbury Region,0,20,0,1584,-1056,1584,689040,852720,2352240,2521200
REFRIG. HAULAGE-Canterbury Region-2025-Dual fuel,REFRIG. HAULAGE,2025,Canterbury Region,0,0,0,0,0,0,0,0,0,0
STOCK CARTAGE-Canterbury Region-2025-Dual fuel,STOCK CARTAGE,2025,Canterbury Region,0,0,0,0,0,0,0,0,0,0
FURNITURE REMOVALS-Otago Region-2025-Dual fuel,FURNITURE REMOVALS,2025,Otago Region,0,0,0,0,0,0,0,0,0,0
GENERAL GOODS - LINE HAULAGE-Otago Region-2025-Dual fuel,GENERAL GOODS - LINE HAULAGE,2025,Otago Region,0,70,0,5544,-3696,5544,2411640,2984520,8232840,8824200
GENERAL GOODS - LOCAL-Otago Region-2025-Dual fuel,GENERAL GOODS - LOCAL,2025,Otago Region,0,80,0,6336,-4224,6336,2756160,3410880,9408960,10084800
HEAVY HAULAGE-Otago Region-2025-Dual fuel,HEAVY HAULAGE,2025,Otago Region,0,20,0,1584,-1056,1584,689040,852720,2352240,2521200
LOG HAULAGE-Otago Region-2025-Dual fuel,LOG HAULAGE,2025,Otago Region,0,75,0,5940,-3960,5940,2583900,3197700,8820900,9454500
REFRIG. HAULAGE-Otago Region-2025-Dual fuel,REFRIG. HAULAGE,2025,Otago Region,0,0,0,0,0,0,0,0,0,0
STOCK CARTAGE-Otago Region-2025-Dual fuel,STOCK CARTAGE,2025,Otago Region,0,69,0,5464.8,-3643.2,5464.8,2377188,2941884,8115228,8698140
GENERAL GOODS - LINE HAULAGE-Tasman Marlborough-2025-Dual fuel,GENERAL GOODS - LINE HAULAGE,2025,Tasman Marlborough,0,30,0,2376,-1584,2376,1033560,1279080,3528360,3781800
GENERAL GOODS - LOCAL-Tasman Marlborough-2025-Dual fuel,GENERAL GOODS - LOCAL,2025,Tasman Marlborough,0,30,0,2376,-1584,2376,1033560,1279080,3528360,3781800
HEAVY HAULAGE-Tasman Marlborough-2025-Dual fuel,HEAVY HAULAGE,2025,Tasman Marlborough,0,0,0,0,0,0,0,0,0,0
LOG HAULAGE-Tasman Marlborough-2025-Dual fuel,LOG HAULAGE,2025,Tasman Marlborough,0,30,0,2376,-1584,2376,1033560,1279080,3528360,3781800
REFRIG. HAULAGE-Tasman Marlborough-2025-Dual fuel,REFRIG. HAULAGE,2025,Tasman Marlborough,0,0,0,0,0,0,0,0,0,0
STOCK CARTAGE-Tasman Marlborough-2025-Dual fuel,STOCK CARTAGE,2025,Tasman Marlborough,0,0,0,0,0,0,0,0,0,0
GENERAL GOODS - LINE HAULAGE-West Coast Region-2025-Dual fuel,GENERAL GOODS - LINE HAULAGE,2025,West Coast Region,0,1,0,79.2,-52.8,79.2,34452,42636,117612,126060
GENERAL GOODS - LOCAL-West Coast Region-2025-Dual fuel,GENERAL GOODS - LOCAL,2025,West Coast Region,0,7,0,554.4,-369.6,554.4,241164,298452,823284,882420
HEAVY HAULAGE-West Coast Region-2025-Dual fuel,HEAVY HAULAGE,2025,West Coast Region,0,0,0,0,0,0,0,0,0,0
LOG HAULAGE-West Coast Region-2025-Dual fuel,LOG HAULAGE,2025,West Coast Region,0,0,0,0,0,0,0,0,0,0
STOCK CARTAGE-West Coast Region-2025-Dual fuel,STOCK CARTAGE,2025,West Coast Region,0,1,0,79.2,-52.8,79.2,34452,42636,117612,126060
FURNITURE REMOVALS-Canterbury Region-2026,FURNITURE REMOVALS,2026,Canterbury Region,2,0,264,0,0,264,0,0,0,0
GENERAL GOODS - LINE HAULAGE-Canterbury Region-2026,GENERAL GOODS - LINE HAULAGE,2026,Canterbury Region,279,0,36828,0,0,36828,0,0,0,0
GENERAL GOODS - LOCAL-Canterbury Region-2026,GENERAL GOODS - LOCAL,2026,Canterbury Region,282,0,37224,0,0,37224,0,0,0,0
HEAVY HAULAGE-Canterbury Region-2026,HEAVY HAULAGE,2026,Canterbury Region,44,0,5808,0,0,5808,0,0,0,0
LOG HAULAGE-Canterbury Region-2026,LOG HAULAGE,2026,Canterbury Region,82,0,10824,0,0,10824,0,0,0,0
REFRIG. HAULAGE-Canterbury Region-2026,REFRIG. HAULAGE,2026,Canterbury Region,33,0,4356,0,0,4356,0,0,0,0
STOCK CARTAGE-Canterbury Region-2026,STOCK CARTAGE,2026,Canterbury Region,176,0,23232,0,0,23232,0,0,0,0
FURNITURE REMOVALS-Otago Region-2026,FURNITURE REMOVALS,2026,Otago Region,1,0,132,0,0,132,0,0,0,0
GENERAL GOODS - LINE HAULAGE-Otago Region-2026,GENERAL GOODS - LINE HAULAGE,2026,Otago Region,97,0,12804,0,0,12804,0,0,0,0
GENERAL GOODS - LOCAL-Otago Region-2026,GENERAL GOODS - LOCAL,2026,Otago Region,99,0,13068,0,0,13068,0,0,0,0
HEAVY HAULAGE-Otago Region-2026,HEAVY HAULAGE,2026,Otago Region,6,0,792,0,0,792,0,0,0,0
LOG HAULAGE-Otago Region-2026,LOG HAULAGE,2026,Otago Region,110,0,14520,0,0,14520,0,0,0,0
REFRIG. HAULAGE-Otago Region-2026,REFRIG. HAULAGE,2026,Otago Region,12,0,1584,0,0,1584,0,0,0,0
STOCK CARTAGE-Otago Region-2026,STOCK CARTAGE,2026,Otago Region,58,0,7656,0,0,7656,0,0,0,0
GENERAL GOODS - LINE HAULAGE-Tasman Marlborough-2026,GENERAL GOODS - LINE HAULAGE,2026,Tasman Marlborough,49,0,6468,0,0,6468,0,0,0,0
GENERAL GOODS - LOCAL-Tasman Marlborough-2026,GENERAL GOODS - LOCAL,2026,Tasman Marlborough,24,0,3168,0,0,3168,0,0,0,0
HEAVY HAULAGE-Tasman Marlborough-2026,HEAVY HAULAGE,2026,Tasman Marlborough,10,0,1320,0,0,1320,0,0,0,0
LOG HAULAGE-Tasman Marlborough-2026,LOG HAULAGE,2026,Tasman Marlborough,94,0,12408,0,0,12408,0,0,0,0
REFRIG. HAULAGE-Tasman Marlborough-2026,REFRIG. HAULAGE,2026,Tasman Marlborough,8,0,1056,0,0,1056,0,0,0,0
STOCK CARTAGE-Tasman Marlborough-2026,STOCK CARTAGE,2026,Tasman Marlborough,23,0,3036,0,0,3036,0,0,0,0
GENERAL GOODS - LINE HAULAGE-West Coast Region-2026,GENERAL GOODS - LINE HAULAGE,2026,West Coast Region,4,0,528,0,0,528,0,0,0,0
GENERAL GOODS - LOCAL-West Coast Region-2026,GENERAL GOODS - LOCAL,2026,West Coast Region,1,0,132,0,0,132,0,0,0,0
HEAVY HAULAGE-West Coast Region-2026,HEAVY HAULAGE,2026,West Coast Region,1,0,132,0,0,132,0,0,0,0
LOG HAULAGE-West Coast Region-2026,LOG HAULAGE,2026,West Coast Region,4,0,528,0,0,528,0,0,0,0
STOCK CARTAGE-West Coast Region-2026,STOCK CARTAGE,2026,West Coast Region,9,0,1188,0,0,1188,0,0,0,0
FURNITURE REMOVALS-Canterbury Region-2026-Dual fuel,FURNITURE REMOVALS,2026,Canterbury Region,0,0,0,0,0,0,0,0,0,0
GENERAL GOODS - LINE HAULAGE-Canterbury Region-2026-Dual fuel,GENERAL GOODS - LINE HAULAGE,2026,Canterbury Region,0,120,0,9504,-6336,9504,4134240,5116320,14113440,15127200
GENERAL GOODS - LOCAL-Canterbury Region-2026-Dual fuel,GENERAL GOODS - LOCAL,2026,Canterbury Region,0,60,0,4752,-3168,4752,2067120,2558160,7056720,7563600
HEAVY HAULAGE-Canterbury Region-2026-Dual fuel,HEAVY HAULAGE,2026,Canterbury Region,0,0,0,0,0,0,0,0,0,0
LOG HAULAGE-Canterbury Region-2026-Dual fuel,LOG HAULAGE,2026,Canterbury Region,0,20,0,1584,-1056,1584,689040,852720,2352240,2521200
REFRIG. HAULAGE-Canterbury Region-2026-Dual fuel,REFRIG. HAULAGE,2026,Canterbury Region,0,0,0,0,0,0,0,0,0,0
STOCK CARTAGE-Canterbury Region-2026-Dual fuel,STOCK CARTAGE,2026,Canterbury Region,0,0,0,0,0,0,0,0,0,0
FURNITURE REMOVALS-Otago Region-2026-Dual fuel,FURNITURE REMOVALS,2026,Otago Region,0,0,0,0,0,0,0,0,0,0
GENERAL GOODS - LINE HAULAGE-Otago Region-2026-Dual fuel,GENERAL GOODS - LINE HAULAGE,2026,Otago Region,0,90,0,7128,-4752,7128,3100680,3837240,10585080,11345400
GENERAL GOODS - LOCAL-Otago Region-2026-Dual fuel,GENERAL GOODS - LOCAL,2026,Otago Region,0,100,0,7920,-5280,7920,3445200,4263600,11761200,12606000
HEAVY HAULAGE-Otago Region-2026-Dual fuel,HEAVY HAULAGE,2026,Otago Region,0,40,0,3168,-2112,3168,1378080,1705440,4704480,5042400
LOG HAULAGE-Otago Region-2026-Dual fuel,LOG HAULAGE,2026,Otago Region,0,95,0,7524,-5016,7524,3272940,4050420,11173140,11975700
REFRIG. HAULAGE-Otago Region-2026-Dual fuel,REFRIG. HAULAGE,2026,Otago Region,0,0,0,0,0,0,0,0,0,0
STOCK CARTAGE-Otago Region-2026-Dual fuel,STOCK CARTAGE,2026,Otago Region,0,89,0,7048.8,-4699.2,7048.8,3066228,3794604,10467468,11219340
GENERAL GOODS - LINE HAULAGE-Tasman Marlborough-2026-Dual fuel,GENERAL GOODS - LINE HAULAGE,2026,Tasman Marlborough,0,40,0,3168,-2112,3168,1378080,1705440,4704480,5042400
GENERAL GOODS - LOCAL-Tasman Marlborough-2026-Dual fuel,GENERAL GOODS - LOCAL,2026,Tasman Marlborough,0,40,0,3168,-2112,3168,1378080,1705440,4704480,5042400
HEAVY HAULAGE-Tasman Marlborough-2026-Dual fuel,HEAVY HAULAGE,2026,Tasman Marlborough,0,0,0,0,0,0,0,0,0,0
LOG HAULAGE-Tasman Marlborough-2026-Dual fuel,LOG HAULAGE,2026,Tasman Marlborough,0,40,0,3168,-2112,3168,1378080,1705440,4704480,5042400
REFRIG. HAULAGE-Tasman Marlborough-2026-Dual fuel,REFRIG. HAULAGE,2026,Tasman Marlborough,0,0,0,0,0,0,0,0,0,0
STOCK CARTAGE-Tasman Marlborough-2026-Dual fuel,STOCK CARTAGE,2026,Tasman Marlborough,0,0,0,0,0,0,0,0,0,0
GENERAL GOODS - LINE HAULAGE-West Coast Region-2026-Dual fuel,GENERAL GOODS - LINE HAULAGE,2026,West Coast Region,0,2,0,158.4,-105.6,158.4,68904,85272,235224,252120
GENERAL GOODS - LOCAL-West Coast Region-2026-Dual fuel,GENERAL GOODS - LOCAL,2026,West Coast Region,0,7,0,554.4,-369.6,554.4,241164,298452,823284,882420
HEAVY HAULAGE-West Coast Region-2026-Dual fuel,HEAVY HAULAGE,2026,West Coast Region,0,0,0,0,0,0,0,0,0,0
LOG HAULAGE-West Coast Region-2026-Dual fuel,LOG HAULAGE,2026,West Coast Region,0,0,0,0,0,0,0,0,0,0
STOCK CARTAGE-West Coast Region-2026-Dual fuel,STOCK CARTAGE,2026,West Coast Region,0,1,0,79.2,-52.8,79.2,34452,42636,117612,126060
FURNITURE REMOVALS-Canterbury Region-2027,FURNITURE REMOVALS,2027,Canterbury Region,2,0,264,0,0,264,0,0,0,0
GENERAL GOODS - LINE HAULAGE-Canterbury Region-2027,GENERAL GOODS - LINE HAULAGE,2027,Canterbury Region,239,0,31548,0,0,31548,0,0,0,0
GENERAL GOODS - LOCAL-Canterbury Region-2027,GENERAL GOODS - LOCAL,2027,Canterbury Region,252,0,33264,0,0,33264,0,0,0,0
HEAVY HAULAGE-Canterbury Region-2027,HEAVY HAULAGE,2027,Canterbury Region,44,0,5808,0,0,5808,0,0,0,0
LOG HAULAGE-Canterbury Region-2027,LOG HAULAGE,2027,Canterbury Region,82,0,10824,0,0,10824,0,0,0,0
REFRIG. HAULAGE-Canterbury Region-2027,REFRIG. HAULAGE,2027,Canterbury Region,33,0,4356,0,0,4356,0,0,0,0
STOCK CARTAGE-Canterbury Region-2027,STOCK CARTAGE,2027,Canterbury Region,166,0,21912,0,0,21912,0,0,0,0
FURNITURE REMOVALS-Otago Region-2027,FURNITURE REMOVALS,2027,Otago Region,1,0,132,0,0,132,0,0,0,0
GENERAL GOODS - LINE HAULAGE-Otago Region-2027,GENERAL GOODS - LINE HAULAGE,2027,Otago Region,77,0,10164,0,0,10164,0,0,0,0
GENERAL GOODS - LOCAL-Otago Region-2027,GENERAL GOODS - LOCAL,2027,Otago Region,79,0,10428,0,0,10428,0,0,0,0
HEAVY HAULAGE-Otago Region-2027,HEAVY HAULAGE,2027,Otago Region,6,0,792,0,0,792,0,0,0,0
LOG HAULAGE-Otago Region-2027,LOG HAULAGE,2027,Otago Region,90,0,11880,0,0,11880,0,0,0,0
REFRIG. HAULAGE-Otago Region-2027,REFRIG. HAULAGE,2027,Otago Region,12,0,1584,0,0,1584,0,0,0,0
STOCK CARTAGE-Otago Region-2027,STOCK CARTAGE,2027,Otago Region,48,0,6336,0,0,6336,0,0,0,0
GENERAL GOODS - LINE HAULAGE-Tasman Marlborough-2027,GENERAL GOODS - LINE HAULAGE,2027,Tasman Marlborough,39,0,5148,0,0,5148,0,0,0,0
GENERAL GOODS - LOCAL-Tasman Marlborough-2027,GENERAL GOODS - LOCAL,2027,Tasman Marlborough,14,0,1848,0,0,1848,0,0,0,0
HEAVY HAULAGE-Tasman Marlborough-2027,HEAVY HAULAGE,2027,Tasman Marlborough,10,0,1320,0,0,1320,0,0,0,0
LOG HAULAGE-Tasman Marlborough-2027,LOG HAULAGE,2027,Tasman Marlborough,84,0,11088,0,0,11088,0,0,0,0
REFRIG. HAULAGE-Tasman Marlborough-2027,REFRIG. HAULAGE,2027,Tasman Marlborough,8,0,1056,0,0,1056,0,0,0,0
STOCK CARTAGE-Tasman Marlborough-2027,STOCK CARTAGE,2027,Tasman Marlborough,23,0,3036,0,0,3036,0,0,0,0
GENERAL GOODS - LINE HAULAGE-West Coast Region-2027,GENERAL GOODS - LINE HAULAGE,2027,West Coast Region,3,0,396,0,0,396,0,0,0,0
GENERAL GOODS - LOCAL-West Coast Region-2027,GENERAL GOODS - LOCAL,2027,West Coast Region,1,0,132,0,0,132,0,0,0,0
HEAVY HAULAGE-West Coast Region-2027,HEAVY HAULAGE,2027,West Coast Region,1,0,132,0,0,132,0,0,0,0
LOG HAULAGE-West Coast Region-2027,LOG HAULAGE,2027,West Coast Region,4,0,528,0,0,528,0,0,0,0
STOCK CARTAGE-West Coast Region-2027,STOCK CARTAGE,2027,West Coast Region,9,0,1188,0,0,1188,0,0,0,0
FURNITURE REMOVALS-Canterbury Region-2027-Dual fuel,FURNITURE REMOVALS,2027,Canterbury Region,0,0,0,0,0,0,0,0,0,0
GENERAL GOODS - LINE HAULAGE-Canterbury Region-2027-Dual fuel,GENERAL GOODS - LINE HAULAGE,2027,Canterbury Region,0,160,0,12672,-8448,12672,5512320,6821760,18817920,20169600
GENERAL GOODS - LOCAL-Canterbury Region-2027-Dual fuel,GENERAL GOODS - LOCAL,2027,Canterbury Region,0,90,0,7128,-4752,7128,3100680,3837240,10585080,11345400
HEAVY HAULAGE-Canterbury Region-2027-Dual fuel,HEAVY HAULAGE,2027,Canterbury Region,0,0,0,0,0,0,0,0,0,0
LOG HAULAGE-Canterbury Region-2027-Dual fuel,LOG HAULAGE,2027,Canterbury Region,0,20,0,1584,-1056,1584,689040,852720,2352240,2521200
REFRIG. HAULAGE-Canterbury Region-2027-Dual fuel,REFRIG. HAULAGE,2027,Canterbury Region,0,0,0,0,0,0,0,0,0,0
STOCK CARTAGE-Canterbury Region-2027-Dual fuel,STOCK CARTAGE,2027,Canterbury Region,0,10,0,792,-528,792,344520,426360,1176120,1260600
FURNITURE REMOVALS-Otago Region-2027-Dual fuel,FURNITURE REMOVALS,2027,Otago Region,0,0,0,0,0,0,0,0,0,0
GENERAL GOODS - LINE HAULAGE-Otago Region-2027-Dual fuel,GENERAL GOODS - LINE HAULAGE,2027,Otago Region,0,110,0,8712,-5808,8712,3789720,4689960,12937320,13866600
GENERAL GOODS - LOCAL-Otago Region-2027-Dual fuel,GENERAL GOODS - LOCAL,2027,Otago Region,0,120,0,9504,-6336,9504,4134240,5116320,14113440,15127200
HEAVY HAULAGE-Otago Region-2027-Dual fuel,HEAVY HAULAGE,2027,Otago Region,0,40,0,3168,-2112,3168,1378080,1705440,4704480,5042400
LOG HAULAGE-Otago Region-2027-Dual fuel,LOG HAULAGE,2027,Otago Region,0,115,0,9108,-6072,9108,3961980,4903140,13525380,14496900
REFRIG. HAULAGE-Otago Region-2027-Dual fuel,REFRIG. HAULAGE,2027,Otago Region,0,0,0,0,0,0,0,0,0,0
STOCK CARTAGE-Otago Region-2027-Dual fuel,STOCK CARTAGE,2027,Otago Region,0,99,0,7840.8,-5227.2,7840.8,3410748,4220964,11643588,12479940
GENERAL GOODS - LINE HAULAGE-Tasman Marlborough-2027-Dual fuel,GENERAL GOODS - LINE HAULAGE,2027,Tasman Marlborough,0,50,0,3960,-2640,3960,1722600,2131800,5880600,6303000
GENERAL GOODS - LOCAL-Tasman Marlborough-2027-Dual fuel,GENERAL GOODS - LOCAL,2027,Tasman Marlborough,0,50,0,3960,-2640,3960,1722600,2131800,5880600,6303000
HEAVY HAULAGE-Tasman Marlborough-2027-Dual fuel,HEAVY HAULAGE,2027,Tasman Marlborough,0,0,0,0,0,0,0,0,0,0
LOG HAULAGE-Tasman Marlborough-2027-Dual fuel,LOG HAULAGE,2027,Tasman Marlborough,0,50,0,3960,-2640,3960,1722600,2131800,5880600,6303000
REFRIG. HAULAGE-Tasman Marlborough-2027-Dual fuel,REFRIG. HAULAGE,2027,Tasman Marlborough,0,0,0,0,0,0,0,0,0,0
STOCK CARTAGE-Tasman Marlborough-2027-Dual fuel,STOCK CARTAGE,2027,Tasman Marlborough,0,0,0,0,0,0,0,0,0,0
GENERAL GOODS - LINE HAULAGE-West Coast Region-2027-Dual fuel,GENERAL GOODS - LINE HAULAGE,2027,West Coast Region,0,3,0,237.6,-158.4,237.6,103356,127908,352836,378180
GENERAL GOODS - LOCAL-West Coast Region-2027-Dual fuel,GENERAL GOODS - LOCAL,2027,West Coast Region,0,7,0,554.4,-369.6,554.4,241164,298452,823284,882420
HEAVY HAULAGE-West Coast Region-2027-Dual fuel,HEAVY HAULAGE,2027,West Coast Region,0,0,0,0,0,0,0,0,0,0
LOG HAULAGE-West Coast Region-2027-Dual fuel,LOG HAULAGE,2027,West Coast Region,0,0,0,0,0,0,0,0,0,0
STOCK CARTAGE-West Coast Region-2027-Dual fuel,STOCK CARTAGE,2027,West Coast Region,0,1,0,79.2,-52.8,79.2,34452,42636,117612,126060
